SURVEY:   DES
SNID:             71869  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       48.000000  # deg (avg among obs)
DEC:      0.000000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0713 +- 0.0114  # MW E(B-V) 
MWXT_MAG:  0.211 0.140 0.103 0.078  # MW mag-XT per band
PEAKMJD:  56249.180     # estimate for LC fit codes
MJD_TRIGGER:       56235.188  
MJD_DETECT_FIRST:  56235.172  
MJD_DETECT_LAST:   56296.102  

REDSHIFT_HELIO:   0.435567 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.434690 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           8    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.43528 
SIM_REDSHIFT_CMB:    0.43440  
SIM_REDSHIFT_HOST:   0.43528 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            41.8880   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              48.000000     # deg  
SIM_DEC:             0.000000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0577   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    0.017     # coh model scatter 
SIM_PEAKMJD:         56249.109    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         2.3766e-05 
SIM_SALT2x1:         0.4425 
SIM_SALT2c:          -0.0831 
SIM_SALT2mB:         22.1951 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.3426  # spectro-search efficiency 
SIM_TRESTMIN:        -14.58  # days 
SIM_TRESTMAX:        68.96  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  22.872 22.111 22.235 22.475  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 66 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56228.1990 DES-g shallow7  7.01233e+00  6.9223e+00    0  1.000 32.330  1.32 1.260e+02  25.8807 
OBS: 56228.2150 DES-r shallow7 -1.96555e+00  1.5460e+01    0  1.000 30.880  1.65 5.860e+01  24.5436 
OBS: 56228.2230 DES-i shallow7 -3.04321e+01  2.9144e+01    0  1.000 31.290  1.52 1.772e+02  24.5800 
OBS: 56229.1990 DES-z shallow7  5.51130e+00  8.4586e+00    0  1.000 33.170  1.50 2.946e+02  24.3714 
OBS: 56230.1560 DES-g shallow7 -3.82909e+00  9.8313e+00    0  1.000 32.290  1.33 1.716e+02  24.7915 
OBS: 56230.1720 DES-r shallow7  2.68791e+01  1.8852e+01    0  1.000 30.930  1.46 8.506e+01  23.8636 
OBS: 56230.1880 DES-i shallow7  4.15360e+01  2.2918e+01    0  1.000 32.110  1.70 2.652e+02  23.9752 
OBS: 56231.2300 DES-z shallow7  3.76913e+01  8.0727e+00    0  1.000 33.180  1.48 2.872e+02  23.8386 
OBS: 56235.1600 DES-g shallow7  3.85982e+01  5.3661e+00    0  1.000 32.350  1.86 6.962e+01  23.5388 
OBS: 56235.1720 DES-r shallow7  7.82448e+01  1.1792e+01 4096  1.000 30.940  2.14 3.511e+01  22.8966 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56235.1875
OBS: 56235.1880 DES-i shallow7  5.57975e+01  1.0330e+01 4096  1.000 32.190  2.17 1.001e+02  23.0702 
OBS: 56236.1880 DES-z shallow7  5.23295e+01  9.3677e+00 4096  1.000 33.210  2.25 2.253e+02  23.0704 
OBS: 56237.1990 DES-g shallow7  4.23074e+01  5.0021e+00 4096  1.000 32.120  1.94 4.964e+01  23.2197 
OBS: 56237.2070 DES-r shallow7  1.03101e+02  9.9883e+00 4096  1.000 30.860  1.95 2.950e+01  22.6337 
OBS: 56237.2150 DES-i shallow7  7.23432e+01  1.2687e+01 4096  1.000 31.610  1.90 8.195e+01  22.8156 
OBS: 56238.1990 DES-z shallow7  7.07552e+01  1.0918e+01 4096  1.000 32.970  2.21 2.142e+02  22.8528 
OBS: 56243.1950 DES-g shallow7  7.58920e+01  2.4188e+00 4096  1.000 32.320  1.41 3.638e+01  22.7818 
OBS: 56243.2030 DES-r shallow7  1.28899e+02  7.0268e+00 4096  1.000 30.990  1.59 2.760e+01  22.1972 
OBS: 56243.2110 DES-i shallow7  1.19868e+02  5.9261e+00 4096  1.000 32.080  1.44 7.619e+01  22.3707 
OBS: 56244.1880 DES-z shallow7  8.18221e+01  7.3999e+00 4096  1.000 33.110  1.70 2.142e+02  22.5479 
OBS: 56245.1910 DES-g shallow7  8.69693e+01  6.7278e+00 4096  1.000 31.200  1.47 3.638e+01  22.7705 
OBS: 56245.1990 DES-r shallow7  1.45731e+02  6.5694e+00 4096  1.000 31.010  1.49 2.760e+01  22.1412 
OBS: 56245.2030 DES-i shallow7  1.24781e+02  5.8802e+00 4096  1.000 32.140  1.51 7.619e+01  22.3029 
OBS: 56246.1990 DES-z shallow7  9.29445e+01  6.3437e+00 4096  1.000 33.220  1.61 2.142e+02  22.5124 
OBS: 56248.2300 DES-g shallow7  7.03850e+01  2.5964e+00 4096  1.000 32.320  1.54 3.638e+01  22.8331 
OBS: 56248.2380 DES-r shallow7  1.49779e+02  7.7750e+00 4096  1.000 30.810  1.48 2.760e+01  22.1087 
OBS: 56248.2500 DES-i shallow7  1.32963e+02  7.3341e+00 4096  1.000 31.910  1.53 7.619e+01  22.2423 
OBS: 56258.1520 DES-z shallow7  1.04096e+02  9.3997e+00    0  1.000 33.200  1.75 2.876e+02  22.5820 
