SURVEY:   DES
SNID:             72009  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       48.000000  # deg (avg among obs)
DEC:      0.000000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0713 +- 0.0114  # MW E(B-V) 
MWXT_MAG:  0.313 0.209 0.153 0.116  # MW mag-XT per band
PEAKMJD:  56262.375     # estimate for LC fit codes
MJD_TRIGGER:       56248.230  
MJD_DETECT_FIRST:  56245.203  
MJD_DETECT_LAST:   56308.102  

REDSHIFT_HELIO:   0.257389 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.256621 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           8    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.25713 
SIM_REDSHIFT_CMB:    0.25636  
SIM_REDSHIFT_HOST:   0.25713 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            40.5595   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              48.000000     # deg  
SIM_DEC:             0.000000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0859   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    0.103     # coh model scatter 
SIM_PEAKMJD:         56262.191    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         3.3709e-05 
SIM_SALT2x1:         0.0719 
SIM_SALT2c:          0.1973 
SIM_SALT2mB:         21.8156 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.5745  # spectro-search efficiency 
SIM_TRESTMIN:        -15.12  # days 
SIM_TRESTMAX:        68.32  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  22.574 21.969 21.826 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 38 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56243.1950 DES-g shallow7  7.24722e+00  2.2450e+00    0  1.000 32.320  1.41 3.638e+01  25.9056 
OBS: 56243.2030 DES-r shallow7  1.44771e+01  6.6917e+00    0  1.000 30.990  1.59 2.760e+01  24.8421 
OBS: 56243.2110 DES-i shallow7  1.27301e+01  5.7915e+00    0  1.000 32.080  1.44 7.619e+01  24.6302 
OBS: 56245.1910 DES-g shallow7  4.32873e+00  6.5213e+00    0  1.000 31.200  1.47 3.638e+01  24.6977 
OBS: 56245.1990 DES-r shallow7  3.04563e+01  6.2137e+00    0  1.000 31.010  1.49 2.760e+01  23.9618 
OBS: 56245.2030 DES-i shallow7  3.29292e+01  5.7703e+00 4096  1.000 32.140  1.51 7.619e+01  23.7750 
OBS: 56248.2300 DES-g shallow7  3.22031e+01  2.5081e+00 4096  1.000 32.320  1.54 3.638e+01  23.7423 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56248.2305
OBS: 56248.2380 DES-r shallow7  4.98765e+01  7.4642e+00 4096  1.000 30.810  1.48 2.760e+01  23.1583 
OBS: 56248.2500 DES-i shallow7  7.50615e+01  7.2658e+00 4096  1.000 31.910  1.53 7.619e+01  22.9822 
OBS: 56260.1880 DES-g shallow7  9.71807e+01  8.0780e+00 4096  1.000 32.420  1.41 1.486e+02  22.5583 
OBS: 56260.1950 DES-r shallow7  1.56989e+02  1.4342e+01 4096  1.000 31.000  1.44 6.877e+01  21.9912 
OBS: 56260.2030 DES-i shallow7  1.80097e+02  1.3882e+01 4096  1.000 32.210  1.42 2.096e+02  21.8581 
OBS: 56268.1950 DES-g shallow7  7.84611e+01  2.8165e+00 4096  1.000 32.340  1.71 3.638e+01  22.8185 
OBS: 56268.1990 DES-r shallow7  1.55314e+02  7.8657e+00 4096  1.000 30.910  1.65 2.760e+01  22.0378 
OBS: 56268.2150 DES-i shallow7  1.73035e+02  6.5576e+00 4096  1.000 32.130  1.65 7.680e+01  21.8778 
OBS: 56278.2230 DES-g shallow7  3.78733e+01  2.4481e+00 4096  1.000 32.380  1.58 3.638e+01  23.6074 
OBS: 56279.1800 DES-r shallow7  9.76371e+01  7.1864e+00 4096  1.000 30.910  1.53 2.760e+01  22.5352 
OBS: 56279.1990 DES-i shallow7  1.08773e+02  7.8119e+00 4096  1.000 32.180  2.11 7.619e+01  22.4203 
OBS: 56288.1990 DES-g shallow7  5.58757e+00  8.9230e+00    0  1.000 32.360  1.72 1.282e+02  24.6304 
OBS: 56288.2150 DES-r shallow7  7.50389e+01  1.7860e+01    0  1.000 31.010  2.16 5.800e+01  22.9880 
OBS: 56289.0510 DES-i shallow7  1.14100e+02  1.7951e+01 4096  1.000 32.570  3.27 1.646e+02  22.6194 
OBS: 56296.0780 DES-g shallow7  6.51579e+00  1.8703e+00    0  1.000 32.300  1.15 3.638e+01  25.2326 
OBS: 56296.0900 DES-r shallow7  4.02692e+01  5.8309e+00 4096  1.000 30.900  1.25 2.760e+01  23.3626 
OBS: 56298.0900 DES-i shallow7  6.14196e+01  7.5954e+00 4096  1.000 32.120  1.95 7.619e+01  22.8552 
OBS: 56306.0550 DES-g shallow7  3.36286e+00  2.5417e+00    0  1.000 32.330  1.62 3.638e+01  25.7323 
OBS: 56306.0620 DES-r shallow7  3.27793e+01  6.9935e+00    0  1.000 30.930  1.56 2.760e+01  23.8600 
OBS: 56308.1020 DES-i shallow7  3.53971e+01  5.2691e+00 4096  1.000 32.240  1.51 7.619e+01  23.3546 
OBS: 56317.1250 DES-g shallow7  3.89050e-01  7.4532e+00    0  1.000 32.310  1.79 9.809e+01  25.9144 
