SURVEY:   DES
SNID:             72683  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       52.500000  # deg (avg among obs)
DEC:      -36.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0120 +- 0.0019  # MW E(B-V) 
MWXT_MAG:  0.041 0.028 0.020 0.015  # MW mag-XT per band
PEAKMJD:  56175.398     # estimate for LC fit codes
MJD_TRIGGER:       56178.203  
MJD_DETECT_FIRST:  56178.188  
MJD_DETECT_LAST:   56215.188  

REDSHIFT_HELIO:   0.455823 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.455337 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           2    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.45625 
SIM_REDSHIFT_CMB:    0.45576  
SIM_REDSHIFT_HOST:   0.45625 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            42.0110   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              52.500000     # deg  
SIM_DEC:             -36.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0113   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    0.024     # coh model scatter 
SIM_PEAKMJD:         56177.125    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         2.2868e-05 
SIM_SALT2x1:         0.4562 
SIM_SALT2c:          -0.1079 
SIM_SALT2mB:         22.2369 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.3635  # spectro-search efficiency 
SIM_TRESTMIN:        0.73  # days 
SIM_TRESTMAX:        66.67  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  22.781 22.007 22.194 22.393  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 67 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56178.1880 DES-g shallow1  6.20933e+01  7.4689e+00 4096  1.000 32.320  4.70 3.638e+01  22.8385 
OBS: 56178.1950 DES-r shallow1  1.49254e+02  2.1927e+01 4096  1.000 31.000  5.26 2.760e+01  22.0168 
OBS: 56178.2030 DES-i shallow1  1.41536e+02  1.2085e+01 4096  1.000 32.240  3.47 7.619e+01  22.1893 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56178.2031
OBS: 56178.2110 DES-z shallow1  1.13926e+02  1.3159e+01 4096  1.000 33.400  3.96 2.142e+02  22.3844 
OBS: 56186.1560 DES-g shallow1  4.15823e+01  2.5428e+00 4096  1.000 32.380  1.64 3.638e+01  23.3880 
OBS: 56186.1720 DES-r shallow1  1.17414e+02  7.2622e+00 4096  1.000 30.960  1.61 2.760e+01  22.2462 
OBS: 56186.1880 DES-i shallow1  1.25677e+02  6.1536e+00 4096  1.000 32.190  1.66 7.619e+01  22.3030 
OBS: 56186.1950 DES-z shallow1  9.65164e+01  6.5740e+00 4096  1.000 33.240  1.70 2.142e+02  22.4894 
OBS: 56189.2730 DES-g shallow1  4.20924e+01  5.6506e+00    0  1.000 31.740  2.07 3.638e+01  23.6423 
OBS: 56189.2810 DES-r shallow1  1.33324e+02  3.0241e+01    0  1.000 29.770  2.33 2.760e+01  22.3925 
OBS: 56189.2890 DES-i shallow1  1.01653e+02  1.0628e+01 4096  1.000 31.800  2.03 7.619e+01  22.4033 
OBS: 56189.2970 DES-z shallow1  9.34155e+01  1.5484e+01    0  1.000 32.530  2.09 2.142e+02  22.6232 
OBS: 56201.2190 DES-g shallow1  2.89878e+01  9.1742e+00    0  1.000 32.370  2.10 1.087e+02  24.7392 
OBS: 56201.2340 DES-r shallow1  7.06815e+01  1.4275e+01    0  1.000 31.050  2.23 4.611e+01  23.1837 
OBS: 56202.1600 DES-i shallow1  5.92985e+01  9.4833e+00    0  1.000 32.270  1.69 1.272e+02  22.9355 
OBS: 56202.1760 DES-z shallow1  7.65538e+01  8.3218e+00 4096  1.000 33.240  1.82 2.541e+02  23.0433 
OBS: 56214.2380 DES-g shallow1  5.68823e+00  1.8621e+00    0  1.000 32.410  1.27 3.638e+01  25.7238 
OBS: 56215.1640 DES-r shallow1  3.09033e+01  6.3941e+00    0  1.000 31.000  1.52 2.760e+01  24.1071 
OBS: 56215.1800 DES-i shallow1  5.12705e+01  5.2600e+00 4096  1.000 32.260  1.53 7.619e+01  23.3434 
OBS: 56215.1880 DES-z shallow1  5.60684e+01  6.1758e+00 4096  1.000 33.260  1.63 2.142e+02  23.2426 
OBS: 56221.1050 DES-g shallow1  5.34136e+00  5.7840e+00    0  1.000 31.970  2.42 4.010e+01  25.9573 
OBS: 56221.1170 DES-r shallow1  8.75931e-01  1.2354e+01    0  1.000 30.780  2.41 2.792e+01  24.4165 
OBS: 56221.1250 DES-i shallow1  5.62915e+01  1.3275e+01    0  1.000 31.720  2.34 7.712e+01  23.5639 
OBS: 56221.1330 DES-z shallow1  3.95990e+01  1.4190e+01    0  1.000 32.660  2.14 2.163e+02  23.4289 
OBS: 56228.1090 DES-g shallow1  1.79106e+01  8.6445e+00    0  1.000 32.050  1.59 1.007e+02  26.1187 
OBS: 56228.1130 DES-r shallow1  1.57728e+01  1.1266e+01    0  1.000 30.760  1.43 4.348e+01  24.7191 
OBS: 56228.1210 DES-i shallow1  2.61294e+01  1.3026e+01    0  1.000 31.900  1.67 1.261e+02  23.8513 
OBS: 56228.1290 DES-z shallow1  2.85592e+01  1.1013e+01    0  1.000 32.920  1.78 2.566e+02  23.7367 
