SURVEY:   DES
SNID:             72758  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       36.750000  # deg (avg among obs)
DEC:      -4.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0283 +- 0.0045  # MW E(B-V) 
MWXT_MAG:  0.072 0.048 0.035 0.027  # MW mag-XT per band
PEAKMJD:  56178.773     # estimate for LC fit codes
MJD_TRIGGER:       56179.344  
MJD_DETECT_FIRST:  56179.172  
MJD_DETECT_LAST:   56179.344  

REDSHIFT_HELIO:   0.448545 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.447398 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           7    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.44847 
SIM_REDSHIFT_CMB:    0.44732  
SIM_REDSHIFT_HOST:   0.44847 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            41.9638   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              36.750000     # deg  
SIM_DEC:             -4.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0197   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    -0.204     # coh model scatter 
SIM_PEAKMJD:         56178.781    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         8.8416e-06 
SIM_SALT2x1:         -0.1272 
SIM_SALT2c:          0.2038 
SIM_SALT2mB:         23.2687 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.1451  # spectro-search efficiency 
SIM_TRESTMIN:        0.27  # days 
SIM_TRESTMAX:        67.33  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  24.263 22.873 22.716 22.734  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 60 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56179.1720 DES-g shallow6  1.25176e+01  3.2029e+00 4096  1.000 32.420  2.21 3.638e+01  24.2808 
OBS: 56179.3120 DES-r shallow6  5.46306e+01  1.5879e+01    0  1.000 30.750  2.81 3.001e+01  22.8760 
OBS: 56179.3280 DES-i shallow6  4.98122e+01  1.2959e+01    0  1.000 32.050  2.85 8.396e+01  22.7133 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56179.3438
OBS: 56179.3440 DES-z shallow6  8.39709e+01  1.1895e+01 4096  1.000 33.070  2.58 2.192e+02  22.7295 
OBS: 56188.1480 DES-g shallow6  9.72266e+00  1.4056e+01    0  1.000 31.230  3.26 3.638e+01  24.9132 
OBS: 56188.1600 DES-r shallow6  3.02884e+01  2.1359e+01    0  1.000 30.230  2.53 2.760e+01  23.1484 
OBS: 56188.2110 DES-i shallow6  8.81722e+01  1.3362e+01    0  1.000 31.580  2.09 7.619e+01  22.8398 
OBS: 56188.2270 DES-z shallow6  8.97609e+01  1.2254e+01    0  1.000 32.840  2.20 2.142e+02  22.8731 
OBS: 56200.1800 DES-g shallow6  1.52932e+01  1.5894e+01    0  1.000 32.420  2.76 1.505e+02  26.0206 
OBS: 56200.1880 DES-r shallow6  1.50914e+01  2.4447e+01    0  1.000 31.040  2.57 6.918e+01  23.9235 
OBS: 56200.1950 DES-i shallow6  8.28544e+01  2.3662e+01    0  1.000 32.400  2.88 2.110e+02  23.3561 
OBS: 56200.2030 DES-z shallow6  5.77734e+01  1.4752e+01    0  1.000 33.250  2.83 2.930e+02  23.3554 
OBS: 56210.2030 DES-g shallow6  3.74020e-01  3.7151e+00    0  1.000 32.420  2.58 3.638e+01  26.8618 
OBS: 56210.2110 DES-r shallow6  3.07466e+01  1.0690e+01    0  1.000 31.190  3.06 2.760e+01  24.6296 
OBS: 56210.2190 DES-i shallow6  2.83387e+01  9.2129e+00    0  1.000 32.170  2.49 7.619e+01  23.6977 
OBS: 56210.2340 DES-z shallow6  4.05305e+01  1.1329e+01    0  1.000 33.170  2.76 2.142e+02  23.5152 
OBS: 56220.1880 DES-g shallow6 -5.99883e-01  1.8845e+00    0  1.000 32.370  1.25 3.638e+01  27.4114 
OBS: 56220.1950 DES-r shallow6  6.31379e+00  5.4322e+00    0  1.000 31.020  1.33 2.760e+01  25.2160 
OBS: 56220.2030 DES-i shallow6  2.17336e+01  5.2701e+00    0  1.000 32.200  1.46 7.619e+01  24.0613 
OBS: 56220.2110 DES-z shallow6  2.31336e+01  5.6109e+00    0  1.000 33.250  1.47 2.142e+02  23.7869 
OBS: 56222.2030 DES-g shallow6  3.81019e+00  4.9037e+00    0  1.000 32.140  2.20 4.396e+01  27.4756 
OBS: 56222.2110 DES-r shallow6 -1.95496e+00  1.3498e+01    0  1.000 30.390  1.81 2.842e+01  25.3121 
OBS: 56222.2270 DES-i shallow6  1.77145e+01  1.0148e+01    0  1.000 31.810  1.97 7.619e+01  24.1469 
OBS: 56222.2380 DES-z shallow6  2.55957e+01  9.1966e+00    0  1.000 33.160  2.22 2.142e+02  23.8750 
OBS: 56229.1450 DES-g shallow6  1.88654e+01  9.6147e+00    0  1.000 32.280  1.36 1.623e+02  27.6455 
OBS: 56229.1560 DES-r shallow6 -1.78907e+00  1.7839e+01    0  1.000 30.780  1.28 8.002e+01  25.5834 
OBS: 56229.1720 DES-i shallow6 -2.04643e+01  2.1373e+01    0  1.000 31.850  1.33 2.489e+02  24.4400 
OBS: 56229.1880 DES-z shallow6  2.40022e+01  8.7383e+00    0  1.000 33.060  1.38 2.987e+02  24.2039 
OBS: 56231.1910 DES-g shallow6 -2.17555e+00  8.2867e+00    0  1.000 32.300  1.38 1.405e+02  27.6909 
OBS: 56231.1990 DES-r shallow6  1.48801e+01  1.6156e+01    0  1.000 30.940  1.59 6.731e+01  25.6429 
OBS: 56231.2070 DES-i shallow6  3.04852e+01  1.5823e+01    0  1.000 32.160  1.58 2.061e+02  24.5128 
OBS: 56231.2150 DES-z shallow6  1.22120e+01  7.7615e+00    0  1.000 33.160  1.43 2.809e+02  24.2859 
OBS: 56236.1330 DES-g shallow6  1.18886e+00  3.6718e+00    0  1.000 32.270  2.22 3.638e+01  27.7957 
OBS: 56236.1450 DES-r shallow6  4.33572e+00  8.7515e+00    0  1.000 30.920  1.96 2.760e+01  25.7502 
OBS: 56236.1600 DES-i shallow6  2.26338e+01  7.1831e+00    0  1.000 32.170  1.94 7.619e+01  24.6629 
OBS: 56236.1720 DES-z shallow6 -4.56470e+00  9.5538e+00    0  1.000 33.160  2.21 2.237e+02  24.4550 
OBS: 56238.1480 DES-g shallow6 -1.14625e+00  3.6703e+00    0  1.000 32.030  1.78 3.638e+01  27.8442 
OBS: 56238.1600 DES-r shallow6  5.33137e+00  1.3266e+01    0  1.000 30.490  2.00 2.760e+01  25.7880 
OBS: 56238.1760 DES-i shallow6  2.50549e+01  1.2379e+01    0  1.000 31.600  1.98 7.619e+01  24.7163 
OBS: 56238.1880 DES-z shallow6  3.60813e+00  1.1967e+01    0  1.000 32.710  1.91 2.142e+02  24.5160 
OBS: 56244.1410 DES-g shallow6 -1.41925e+00  2.7181e+00    0  1.000 32.350  1.77 3.638e+01  28.0187 
OBS: 56244.1520 DES-r shallow6  5.93134e+00  7.3902e+00    0  1.000 31.000  1.78 2.760e+01  25.8954 
OBS: 56244.1680 DES-i shallow6  1.01018e+01  7.0308e+00    0  1.000 32.140  1.85 7.619e+01  24.8542 
OBS: 56244.1800 DES-z shallow6  1.68276e+01  7.2030e+00    0  1.000 33.090  1.63 2.142e+02  24.6794 
OBS: 56246.1520 DES-g shallow6 -5.11481e+00  2.3325e+00    0  1.000 32.230  1.36 3.638e+01  28.0854 
OBS: 56246.1640 DES-r shallow6  9.45787e+00  7.2472e+00    0  1.000 30.880  1.56 2.760e+01  25.9290 
OBS: 56246.1800 DES-i shallow6  1.14892e+01  5.2465e+00    0  1.000 32.260  1.54 7.619e+01  24.8932 
OBS: 56246.1910 DES-z shallow6  1.86365e+01  1.9107e+01    0  1.000 32.050  1.66 2.142e+02  24.7274 
OBS: 56258.1020 DES-g shallow6 -4.56622e-01  9.2619e+00    0  1.000 32.350  1.59 1.428e+02  28.5213 
OBS: 56258.1090 DES-r shallow6 -1.98873e+01  1.4297e+01    0  1.000 30.950  1.38 6.939e+01  26.1112 
OBS: 56258.1250 DES-i shallow6  5.91114e+00  1.5562e+01    0  1.000 32.130  1.46 2.136e+02  25.0862 
OBS: 56258.1410 DES-z shallow6  1.12237e+01  8.1262e+00    0  1.000 33.210  1.56 2.823e+02  24.9753 
OBS: 56266.1560 DES-g shallow6 -1.45529e+00  2.5551e+00    0  1.000 32.280  1.56 3.638e+01  28.8243 
OBS: 56266.1680 DES-r shallow6  6.66941e-01  7.2567e+00    0  1.000 30.950  1.63 2.841e+01  26.2350 
OBS: 56266.1800 DES-i shallow6  3.05455e+00  6.1522e+00    0  1.000 32.080  1.49 7.843e+01  25.2170 
OBS: 56266.1910 DES-z shallow6  1.41900e+01  7.9711e+00    0  1.000 33.230  2.00 2.199e+02  25.1440 
OBS: 56276.1910 DES-g shallow6 -9.93491e-01  3.1970e+00    0  1.000 32.400  2.18 3.638e+01  29.2018 
OBS: 56276.2030 DES-r shallow6 -1.53254e+00  9.2443e+00    0  1.000 31.070  2.38 2.760e+01  26.3893 
OBS: 56276.2110 DES-i shallow6  9.48814e+00  7.9047e+00    0  1.000 32.220  2.24 7.619e+01  25.3799 
OBS: 56276.2230 DES-z shallow6  1.87348e+01  1.0123e+01    0  1.000 33.180  2.49 2.142e+02  25.3542 
END_PHOTOMETRY: 

