SURVEY:   DES
SNID:             72773  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       52.500000  # deg (avg among obs)
DEC:      -36.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0120 +- 0.0019  # MW E(B-V) 
MWXT_MAG:  0.035 0.023 0.017 0.013  # MW mag-XT per band
PEAKMJD:  56263.441     # estimate for LC fit codes
MJD_TRIGGER:       56246.336  
MJD_DETECT_FIRST:  56245.336  
MJD_DETECT_LAST:   56320.086  

REDSHIFT_HELIO:   0.265001 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.264579 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           2    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.26488 
SIM_REDSHIFT_CMB:    0.26446  
SIM_REDSHIFT_HOST:   0.26488 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            40.6357   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              52.500000     # deg  
SIM_DEC:             -36.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0095   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    0.021     # coh model scatter 
SIM_PEAKMJD:         56262.938    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         5.2759e-05 
SIM_SALT2x1:         -0.7293 
SIM_SALT2c:          -0.0136 
SIM_SALT2mB:         21.3293 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.7658  # spectro-search efficiency 
SIM_TRESTMIN:        -15.67  # days 
SIM_TRESTMAX:        67.33  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  21.530 21.355 21.436 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 47 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56243.1170 DES-r shallow1  1.03977e+01  1.0135e+01    0  1.000 30.940  2.31 2.760e+01  25.4094 
OBS: 56243.1250 DES-i shallow1  5.88286e+00  7.7229e+00    0  1.000 32.180  2.11 7.619e+01  25.4494 
OBS: 56243.3360 DES-g shallow1 -4.09768e+00  2.6888e+00    0  1.000 32.380  1.80 3.638e+01 99 
OBS: 56244.3200 DES-g shallow1  1.92445e+00  2.7273e+00    0  1.000 32.390  1.84 3.638e+01  25.8404 
OBS: 56244.3360 DES-r shallow1  1.18316e+01  7.9109e+00    0  1.000 31.010  1.92 2.760e+01  24.4873 
OBS: 56245.1170 DES-i shallow1  9.38473e+00  2.3723e+01    0  1.000 30.870  1.94 7.619e+01  24.0609 
OBS: 56245.3360 DES-g shallow1  1.28744e+01  2.1624e+00 4096  1.000 32.290  1.31 3.638e+01  24.6227 
OBS: 56246.0350 DES-r shallow1  4.03429e+01  7.0106e+00    0  1.000 31.010  1.68 2.760e+01  23.6564 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56246.3359
OBS: 56246.3360 DES-g shallow1  2.46724e+01  2.2110e+00 4096  1.000 32.290  1.32 3.638e+01  23.9654 
OBS: 56247.3050 DES-i shallow1  5.03448e+01  5.4289e+00 4096  1.000 32.160  1.44 7.619e+01  23.2154 
OBS: 56254.1720 DES-g shallow1  1.84634e+02  3.4898e+00 4096  1.000 32.390  1.25 6.415e+01  21.8804 
OBS: 56254.1840 DES-r shallow1  1.72624e+02  6.9042e+00 4096  1.000 30.960  1.26 3.303e+01  21.8327 
OBS: 56258.3010 DES-i shallow1  2.45980e+02  1.1120e+01 4096  1.000 32.170  1.67 1.364e+02  21.5512 
OBS: 56261.0510 DES-g shallow1  2.61397e+02  5.7679e+00 4096  1.000 32.180  1.16 9.829e+01  21.5132 
OBS: 56261.0660 DES-r shallow1  2.84460e+02  1.2478e+01 4096  1.000 30.470  1.19 4.163e+01  21.3786 
OBS: 56261.2150 DES-i shallow1  2.50536e+02  6.5390e+00 4096  1.000 32.350  1.31 1.180e+02  21.4625 
OBS: 56274.1600 DES-g shallow1  1.29047e+02  2.6843e+00 4096  1.000 32.320  1.51 3.638e+01  22.2554 
OBS: 56274.1760 DES-r shallow1  2.25804e+02  7.0566e+00 4096  1.000 30.960  1.48 2.760e+01  21.6507 
OBS: 56274.1800 DES-i shallow1  2.00376e+02  6.0637e+00 4096  1.000 32.080  1.45 7.619e+01  21.7888 
OBS: 56283.1560 DES-g shallow1  4.85863e+01  3.0303e+00 4096  1.000 32.320  1.11 6.238e+01  23.2573 
OBS: 56283.1680 DES-r shallow1  1.32855e+02  6.0048e+00 4096  1.000 31.030  1.17 3.314e+01  22.1706 
OBS: 56283.1840 DES-i shallow1  1.30274e+02  5.5215e+00 4096  1.000 32.170  1.18 9.401e+01  22.1467 
OBS: 56288.2420 DES-g shallow1  2.20279e+01  7.4930e+00    0  1.000 32.420  1.91 1.021e+02  23.7817 
OBS: 56288.2580 DES-r shallow1  9.18172e+01  1.3748e+01 4096  1.000 30.950  2.09 4.291e+01  22.4645 
OBS: 56288.2660 DES-i shallow1  1.31034e+02  1.3926e+01    0  1.000 32.120  2.22 1.237e+02  22.2397 
OBS: 56289.2730 DES-g shallow1  4.16186e+01  9.1712e+00    0  1.000 32.380  2.13 1.080e+02  23.8706 
OBS: 56292.1910 DES-r shallow1  8.99765e+01  8.5182e+00 4096  1.000 30.830  1.48 3.234e+01  22.6853 
OBS: 56292.1990 DES-i shallow1  1.25500e+02  6.4989e+00 4096  1.000 32.070  1.33 9.014e+01  22.3250 
