SURVEY:   DES
SNID:             74097  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       52.500000  # deg (avg among obs)
DEC:      -21.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0337 +- 0.0054  # MW E(B-V) 
MWXT_MAG:  0.128 0.085 0.062 0.047  # MW mag-XT per band
PEAKMJD:  56238.238     # estimate for LC fit codes
MJD_TRIGGER:       56231.188  
MJD_DETECT_FIRST:  56220.172  
MJD_DETECT_LAST:   56258.094  

REDSHIFT_HELIO:   0.556668 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.555991 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           6    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.55626 
SIM_REDSHIFT_CMB:    0.55558  
SIM_REDSHIFT_HOST:   0.55626 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            42.5255   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              52.500000     # deg  
SIM_DEC:             -21.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0350   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    0.009     # coh model scatter 
SIM_PEAKMJD:         56238.961    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         7.8350e-06 
SIM_SALT2x1:         -0.0904 
SIM_SALT2c:          0.0709 
SIM_SALT2mB:         23.3999 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0483  # spectro-search efficiency 
SIM_TRESTMIN:        -12.72  # days 
SIM_TRESTMAX:        68.21  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  24.920 23.220 23.217 23.086  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 72 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56219.1720 DES-g shallow5  1.48168e+00  1.8972e+00    0  1.000 32.330  1.21 3.638e+01  26.7943 
OBS: 56219.1880 DES-r shallow5  1.04437e+01  5.4653e+00    0  1.000 31.000  1.31 2.760e+01  24.9523 
OBS: 56220.1560 DES-i shallow5  1.38003e+01  4.9023e+00    0  1.000 32.200  1.36 7.619e+01  24.7132 
OBS: 56220.1720 DES-z shallow5  1.97029e+01  5.5767e+00 4096  1.000 33.180  1.37 2.142e+02  24.6305 
OBS: 56222.1600 DES-g shallow5  1.71768e+00  6.6866e+00    0  1.000 31.600  1.88 4.262e+01  25.9628 
OBS: 56222.1760 DES-r shallow5  2.99968e+01  2.3059e+01    0  1.000 29.810  1.82 2.818e+01  24.3356 
OBS: 56222.1910 DES-i shallow5  3.66929e+01  2.8860e+01    0  1.000 30.670  1.92 7.786e+01  24.3501 
OBS: 56222.1950 DES-z shallow5 -3.13668e+01  4.5611e+01    0  1.000 31.320  1.99 2.179e+02  24.2700 
OBS: 56229.1130 DES-g shallow5  1.18255e+01  9.0049e+00    0  1.000 32.130  1.38 1.304e+02  24.8235 
OBS: 56229.1210 DES-r shallow5  3.62014e+01  1.7626e+01    0  1.000 30.710  1.64 5.726e+01  23.4895 
OBS: 56229.1290 DES-i shallow5  5.21753e+01  1.8675e+01    0  1.000 31.890  1.75 1.711e+02  23.5319 
OBS: 56229.1370 DES-z shallow5  3.30793e+01  9.4446e+00    0  1.000 33.140  1.72 2.788e+02  23.4358 
OBS: 56231.1450 DES-g shallow5  7.77364e+00  6.4782e+00    0  1.000 32.230  1.14 1.245e+02  24.7212 
OBS: 56231.1560 DES-r shallow5  3.85556e+01  1.1310e+01    0  1.000 30.920  1.30 5.601e+01  23.3639 
OBS: 56231.1720 DES-i shallow5  6.88197e+01  1.1941e+01    0  1.000 32.120  1.41 1.675e+02  23.4051 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56231.1875
OBS: 56231.1880 DES-z shallow5  4.47796e+01  8.7197e+00 4096  1.000 33.140  1.63 2.715e+02  23.3050 
OBS: 56236.1050 DES-g shallow5  4.28488e+00  5.1986e+00    0  1.000 32.320  3.29 3.638e+01  24.7759 
OBS: 56236.1090 DES-r shallow5  4.38004e+01  1.3617e+01    0  1.000 30.910  3.01 2.760e+01  23.2202 
OBS: 56236.1170 DES-i shallow5  4.07594e+01  1.1139e+01    0  1.000 32.060  2.72 7.619e+01  23.2443 
OBS: 56236.1250 DES-z shallow5  5.68000e+01  1.4522e+01    0  1.000 33.030  3.11 2.142e+02  23.1311 
OBS: 56238.1250 DES-g shallow5  8.07929e+00  3.5960e+00    0  1.000 32.210  2.05 3.638e+01  24.8690 
OBS: 56238.1290 DES-r shallow5  6.00945e+01  8.8870e+00 4096  1.000 30.920  1.96 2.760e+01  23.2140 
OBS: 56238.1370 DES-i shallow5  4.43333e+01  9.8445e+00    0  1.000 31.920  2.11 7.619e+01  23.2201 
OBS: 56238.1450 DES-z shallow5  7.99003e+01  1.4152e+01 4096  1.000 32.750  2.34 2.142e+02  23.0952 
OBS: 56244.1090 DES-g shallow5  3.98854e+00  3.0050e+00    0  1.000 32.360  1.97 3.638e+01  25.3189 
OBS: 56244.1170 DES-r shallow5  4.33112e+01  1.0290e+01    0  1.000 30.940  2.33 2.760e+01  23.3313 
OBS: 56244.1250 DES-i shallow5  6.60929e+01  7.8477e+00 4096  1.000 32.180  2.13 7.619e+01  23.2532 
OBS: 56244.1330 DES-z shallow5  6.48752e+01  8.5579e+00    0  1.000 33.220  2.18 2.142e+02  23.1001 
OBS: 56246.1170 DES-g shallow5  1.62097e+00  9.0546e+00    0  1.000 31.050  1.78 3.638e+01  25.5044 
OBS: 56246.1250 DES-r shallow5  8.29940e+01  1.5047e+01 4096  1.000 30.180  1.68 2.760e+01  23.4048 
OBS: 56246.1290 DES-i shallow5  4.46510e+01  7.9177e+00 4096  1.000 32.050  1.91 7.619e+01  23.2894 
OBS: 56246.1370 DES-z shallow5  5.60946e+01  8.1230e+00 4096  1.000 32.900  1.54 2.142e+02  23.1376 
OBS: 56258.0660 DES-g shallow5 -6.94778e-01  1.0019e+01    0  1.000 32.800  3.02 1.230e+02  26.5969 
OBS: 56258.0780 DES-r shallow5  3.11135e+01  1.7307e+01    0  1.000 31.420  3.19 5.563e+01  24.1165 
OBS: 56258.0860 DES-i shallow5  4.16846e+01  1.3412e+01    0  1.000 32.170  1.67 1.666e+02  23.6566 
OBS: 56258.0940 DES-z shallow5  3.94690e+01  8.7488e+00 4096  1.000 33.210  1.75 2.707e+02  23.6395 
OBS: 56261.2810 DES-g shallow5  2.23687e+00  5.2496e+00    0  1.000 32.500  1.38 1.068e+02  26.9121 
OBS: 56261.2890 DES-r shallow5  1.72128e+01  8.3321e+00    0  1.000 31.070  1.32 4.642e+01  24.3840 
OBS: 56261.3050 DES-i shallow5  2.59642e+01  9.5919e+00    0  1.000 32.180  1.48 1.355e+02  23.8042 
OBS: 56261.3160 DES-z shallow5  3.29663e+01  7.0549e+00    0  1.000 33.310  1.61 2.600e+02  23.7584 
OBS: 56275.2110 DES-g shallow5  2.54695e+00  2.3524e+00    0  1.000 32.400  1.60 3.638e+01  28.0512 
OBS: 56275.2230 DES-r shallow5 -7.63629e+00  7.5383e+00    0  1.000 30.970  1.77 2.760e+01  25.4223 
OBS: 56276.1520 DES-i shallow5  1.73310e+01  6.2053e+00    0  1.000 32.140  1.63 7.619e+01  24.5474 
OBS: 56276.1720 DES-z shallow5  2.85476e+01  6.1958e+00    0  1.000 33.200  1.55 2.142e+02  24.0410 
OBS: 56287.2030 DES-g shallow5  1.14885e+01  7.6491e+00    0  1.000 32.380  1.79 1.073e+02  28.4993 
OBS: 56287.2110 DES-r shallow5 -1.38136e+01  1.4681e+01    0  1.000 30.980  2.06 4.856e+01  26.0347 
OBS: 56287.2190 DES-i shallow5  1.63297e+01  1.6309e+01    0  1.000 32.180  2.38 1.436e+02  25.0466 
OBS: 56287.2270 DES-z shallow5  9.88311e+00  9.8322e+00    0  1.000 33.220  2.08 2.585e+02  24.3999 
OBS: 56292.0660 DES-g shallow5  4.28836e+00  5.0905e+00    0  1.000 31.840  1.06 7.297e+01  28.5821 
OBS: 56292.0820 DES-r shallow5 -6.43874e+00  1.1771e+01    0  1.000 30.230  1.18 3.331e+01  26.2023 
OBS: 56292.0900 DES-i shallow5  1.77754e+01  1.3973e+01    0  1.000 31.210  1.28 9.318e+01  25.2246 
OBS: 56292.0980 DES-z shallow5 -6.47830e+00  1.3667e+01    0  1.000 32.270  1.31 2.379e+02  24.5933 
OBS: 56305.0510 DES-g shallow5 -1.28562e+00  1.7997e+00    0  1.000 32.320  1.14 3.638e+01  28.5618 
OBS: 56305.0550 DES-r shallow5  4.94427e+00  4.5720e+00    0  1.000 30.920  1.02 2.760e+01  26.4370 
OBS: 56305.0700 DES-i shallow5  1.27520e+01  3.9677e+00    0  1.000 32.130  1.03 7.619e+01  25.5824 
OBS: 56305.0860 DES-z shallow5  1.80489e+01  5.7661e+00    0  1.000 33.190  1.43 2.142e+02  24.9692 
OBS: 56313.1250 DES-g shallow5 -2.39628e+00  4.9598e+00    0  1.000 32.290  1.60 7.137e+01  29.5730 
OBS: 56317.0350 DES-r shallow5  1.31945e+01  2.0487e+01    0  1.000 30.730  2.73 4.021e+01  26.6558 
OBS: 56317.0430 DES-i shallow5  2.86038e+01  1.7172e+01    0  1.000 32.180  3.11 1.155e+02  25.7125 
OBS: 56317.0510 DES-z shallow5 -1.04214e+01  1.0404e+01    0  1.000 33.590  3.20 2.501e+02  25.1937 
OBS: 56321.0980 DES-g shallow5  1.15279e+01  8.5019e+00    0  1.000 31.430  1.29 6.852e+01  40.2151 
OBS: 56321.1410 DES-r shallow5  2.57780e-01  8.5309e+00    0  1.000 30.760  1.47 3.141e+01  26.7350 
OBS: 56326.0390 DES-i shallow5  6.57155e+00  5.4855e+00    0  1.000 32.130  1.43 7.619e+01  25.7743 
OBS: 56326.0470 DES-z shallow5  6.86865e+00  6.3945e+00    0  1.000 33.150  1.53 2.142e+02  25.3428 
OBS: 56334.0430 DES-g shallow5  6.03465e-01  1.9774e+00    0  1.000 32.310  1.24 3.638e+01  65.4842 
OBS: 56334.0510 DES-r shallow5  1.16875e+01  5.7687e+00    0  1.000 30.950  1.32 2.760e+01  26.9841 
OBS: 56334.0550 DES-i shallow5  8.14593e+00  4.6162e+00    0  1.000 32.110  1.18 7.619e+01  25.8294 
OBS: 56334.0700 DES-z shallow5  5.82626e+00  5.1414e+00    0  1.000 33.150  1.23 2.142e+02  25.4758 
OBS: 56345.0310 DES-g shallow5  2.72723e+00  5.3771e+00    0  1.000 32.370  1.85 7.201e+01  86.9331 
OBS: 56345.0390 DES-r shallow5 -1.80947e+01  8.1303e+00    0  1.000 31.010  1.62 3.447e+01  27.1960 
