SURVEY:   DES
SNID:             75899  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       48.000000  # deg (avg among obs)
DEC:      0.000000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0713 +- 0.0114  # MW E(B-V) 
MWXT_MAG:  0.265 0.177 0.129 0.099  # MW mag-XT per band
PEAKMJD:  56207.289     # estimate for LC fit codes
MJD_TRIGGER:       56215.238  
MJD_DETECT_FIRST:  56207.156  
MJD_DETECT_LAST:   56229.199  

REDSHIFT_HELIO:   0.552784 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.551835 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           8    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.55277 
SIM_REDSHIFT_CMB:    0.55182  
SIM_REDSHIFT_HOST:   0.55277 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            42.5081   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              48.000000     # deg  
SIM_DEC:             0.000000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0727   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    -0.166     # coh model scatter 
SIM_PEAKMJD:         56206.934    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         6.8235e-06 
SIM_SALT2x1:         -0.5370 
SIM_SALT2c:          0.1037 
SIM_SALT2mB:         23.5500 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0495  # spectro-search efficiency 
SIM_TRESTMIN:        -17.77  # days 
SIM_TRESTMAX:        65.19  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  25.054 23.239 23.205 23.050  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 71 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56179.3590 DES-g shallow7 -4.44519e+00  4.6134e+00    0  1.000 32.220  1.94 5.086e+01 99 
OBS: 56180.2110 DES-r shallow7  1.76982e+00  8.4270e+00    0  1.000 31.110  2.25 2.760e+01  30.6819 
OBS: 56180.2190 DES-i shallow7  2.56121e+00  6.6012e+00    0  1.000 32.270  1.96 7.619e+01  28.4946 
OBS: 56180.2340 DES-z shallow7 -1.96836e+00  7.4588e+00    0  1.000 33.300  2.05 2.142e+02  28.3233 
OBS: 56188.2380 DES-g shallow7  1.75316e+00  3.5718e+00    0  1.000 32.310  2.24 3.638e+01  26.8271 
OBS: 56189.1950 DES-r shallow7  9.14659e+01  5.9463e+01    0  1.000 29.110  2.51 2.760e+01  24.6796 
OBS: 56189.2030 DES-i shallow7  2.48258e-01  1.3886e+01    0  1.000 31.960  3.10 7.619e+01  24.6634 
OBS: 56189.2110 DES-z shallow7  1.22106e+01  1.6920e+01    0  1.000 32.600  2.44 2.142e+02  24.5171 
OBS: 56200.2190 DES-g shallow7 -2.84008e+01  1.2714e+01    0  1.000 32.370  2.31 1.374e+02  24.8263 
OBS: 56202.2230 DES-r shallow7  4.01009e+01  1.3443e+01    0  1.000 31.070  1.52 6.581e+01  23.2800 
OBS: 56202.2380 DES-i shallow7  5.28210e+01  1.4201e+01    0  1.000 32.280  1.61 2.026e+02  23.2886 
OBS: 56207.1560 DES-z shallow7  5.59287e+01  1.0710e+01 4096  1.000 33.300  2.94 2.142e+02  23.0481 
OBS: 56214.1640 DES-g shallow7  4.14352e+00  2.4218e+00    0  1.000 32.370  1.60 3.638e+01  25.6605 
OBS: 56215.2380 DES-r shallow7  3.57219e+01  5.9070e+00 4096  1.000 31.040  1.45 2.760e+01  23.4866 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56215.2383
OBS: 56216.1640 DES-i shallow7  4.96256e+01  5.6278e+00    0  1.000 32.260  1.64 7.619e+01  23.3289 
OBS: 56217.1520 DES-z shallow7  4.15458e+01  5.3467e+00 4096  1.000 33.220  1.36 2.142e+02  23.2051 
OBS: 56221.1130 DES-g shallow7  1.34148e+01  4.5667e+00    0  1.000 32.210  2.43 3.916e+01  26.3152 
OBS: 56221.1950 DES-r shallow7  2.00037e+01  4.7290e+01    0  1.000 29.110  2.00 2.760e+01  23.8409 
OBS: 56221.3120 DES-i shallow7  3.52597e+01  8.4757e+00    0  1.000 31.940  1.85 7.619e+01  23.4812 
OBS: 56222.1050 DES-z shallow7  3.37183e+01  1.8058e+01    0  1.000 32.820  3.14 2.175e+02  23.4607 
OBS: 56228.1990 DES-g shallow7 -1.10021e+00  6.9164e+00    0  1.000 32.330  1.32 1.260e+02  27.0630 
OBS: 56228.2150 DES-r shallow7  2.29437e+01  1.5493e+01    0  1.000 30.880  1.65 5.860e+01  24.3935 
OBS: 56228.2230 DES-i shallow7  4.63399e+01  2.9169e+01    0  1.000 31.290  1.52 1.772e+02  23.7692 
OBS: 56229.1990 DES-z shallow7  3.25386e+01  8.4672e+00 4096  1.000 33.170  1.50 2.946e+02  23.7409 
OBS: 56230.1560 DES-g shallow7  8.16290e-01  9.8318e+00    0  1.000 32.290  1.33 1.716e+02  27.2492 
OBS: 56230.1720 DES-r shallow7  4.68306e+01  1.8875e+01    0  1.000 30.930  1.46 8.506e+01  24.5671 
OBS: 56230.1880 DES-i shallow7  6.67693e+00  2.2907e+01    0  1.000 32.110  1.70 2.652e+02  23.8658 
OBS: 56231.2300 DES-z shallow7  3.62561e+01  8.0722e+00    0  1.000 33.180  1.48 2.872e+02  23.7936 
