SURVEY:   DES
SNID:             76139  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       48.000000  # deg (avg among obs)
DEC:      0.000000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0713 +- 0.0114  # MW E(B-V) 
MWXT_MAG:  0.195 0.130 0.095 0.072  # MW mag-XT per band
PEAKMJD:  56227.945     # estimate for LC fit codes
MJD_TRIGGER:       56215.238  
MJD_DETECT_FIRST:  56214.164  
MJD_DETECT_LAST:   56277.180  

REDSHIFT_HELIO:   0.324913 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.324103 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           8    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.32434 
SIM_REDSHIFT_CMB:    0.32353  
SIM_REDSHIFT_HOST:   0.32434 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            41.1389   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              48.000000     # deg  
SIM_DEC:             0.000000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0534   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    -0.021     # coh model scatter 
SIM_PEAKMJD:         56227.750    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         3.6155e-05 
SIM_SALT2x1:         0.9464 
SIM_SALT2c:          0.0307 
SIM_SALT2mB:         21.7396 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.6254  # spectro-search efficiency 
SIM_TRESTMIN:        -15.56  # days 
SIM_TRESTMAX:        69.00  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  22.127 21.776 21.729 22.117  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 64 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56207.1560 DES-z shallow7  4.70827e+00  1.0698e+01    0  1.000 33.300  2.94 2.142e+02  24.5812 
OBS: 56214.1640 DES-g shallow7  6.91178e+01  2.5686e+00 4096  1.000 32.370  1.60 3.638e+01  22.8395 
OBS: 56215.2380 DES-r shallow7  1.09748e+02  6.1427e+00 4096  1.000 31.040  1.45 2.760e+01  22.4006 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56215.2383
OBS: 56216.1640 DES-i shallow7  1.18820e+02  5.7040e+00 4096  1.000 32.260  1.64 7.619e+01  22.3276 
OBS: 56217.1520 DES-z shallow7  1.22992e+02  5.3858e+00 4096  1.000 33.220  1.36 2.142e+02  22.3142 
OBS: 56221.1130 DES-g shallow7  1.31485e+02  4.7326e+00 4096  1.000 32.210  2.43 3.916e+01  22.1331 
OBS: 56221.1950 DES-r shallow7  1.51555e+02  4.7605e+01    0  1.000 29.110  2.00 2.760e+01  21.8883 
OBS: 56221.3120 DES-i shallow7  1.73952e+02  8.6117e+00 4096  1.000 31.940  1.85 7.619e+01  21.8980 
OBS: 56222.1050 DES-z shallow7  1.81323e+02  1.8089e+01 4096  1.000 32.820  3.14 2.175e+02  22.1014 
OBS: 56228.1990 DES-g shallow7  1.43830e+02  7.0369e+00 4096  1.000 32.330  1.32 1.260e+02  22.1391 
OBS: 56228.2150 DES-r shallow7  1.95808e+02  1.5739e+01 4096  1.000 30.880  1.65 5.860e+01  21.7777 
OBS: 56228.2230 DES-i shallow7  2.24260e+02  2.9261e+01 4096  1.000 31.290  1.52 1.772e+02  21.7255 
OBS: 56229.1990 DES-z shallow7  1.36763e+02  8.5004e+00 4096  1.000 33.170  1.50 2.946e+02  22.1148 
OBS: 56230.1560 DES-g shallow7  1.25776e+02  9.9086e+00 4096  1.000 32.290  1.33 1.716e+02  22.2065 
OBS: 56230.1720 DES-r shallow7  1.91568e+02  1.9037e+01 4096  1.000 30.930  1.46 8.506e+01  21.7936 
OBS: 56230.1880 DES-i shallow7  1.61301e+02  2.2956e+01 4096  1.000 32.110  1.70 2.652e+02  21.7224 
OBS: 56231.2300 DES-z shallow7  1.31202e+02  8.1036e+00 4096  1.000 33.180  1.48 2.872e+02  22.1172 
OBS: 56235.1600 DES-g shallow7  9.24891e+01  5.4234e+00 4096  1.000 32.350  1.86 6.962e+01  22.4530 
OBS: 56235.1720 DES-r shallow7  1.74548e+02  1.1963e+01 4096  1.000 30.940  2.14 3.511e+01  21.8984 
OBS: 56235.1880 DES-i shallow7  2.02857e+02  1.0424e+01 4096  1.000 32.190  2.17 1.001e+02  21.7986 
OBS: 56236.1880 DES-z shallow7  1.34441e+02  9.3904e+00 4096  1.000 33.210  2.25 2.253e+02  22.2006 
OBS: 56237.1990 DES-g shallow7  9.12532e+01  5.0710e+00 4096  1.000 32.120  1.94 4.964e+01  22.5722 
OBS: 56237.2070 DES-r shallow7  1.52467e+02  1.0100e+01 4096  1.000 30.860  1.95 2.950e+01  21.9631 
OBS: 56237.2150 DES-i shallow7  1.68677e+02  1.2772e+01 4096  1.000 31.610  1.90 8.195e+01  21.8661 
OBS: 56238.1990 DES-z shallow7  1.18589e+02  1.0932e+01    0  1.000 32.970  2.21 2.142e+02  22.2997 
OBS: 56243.1950 DES-g shallow7  6.05698e+01  2.3811e+00 4096  1.000 32.320  1.41 3.638e+01  23.0066 
OBS: 56243.2030 DES-r shallow7  1.30526e+02  7.0314e+00 4096  1.000 30.990  1.59 2.760e+01  22.2182 
OBS: 56243.2110 DES-i shallow7  1.35325e+02  5.9453e+00 4096  1.000 32.080  1.44 7.619e+01  22.1359 
