SURVEY:   DES
SNID:             80429  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       48.000000  # deg (avg among obs)
DEC:      0.000000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0713 +- 0.0114  # MW E(B-V) 
MWXT_MAG:  0.274 0.182 0.134 0.102  # MW mag-XT per band
PEAKMJD:  56218.105     # estimate for LC fit codes
MJD_TRIGGER:       56214.164  
MJD_DETECT_FIRST:  56207.156  
MJD_DETECT_LAST:   56266.199  

REDSHIFT_HELIO:   0.336722 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.335905 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           8    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.33679 
SIM_REDSHIFT_CMB:    0.33597  
SIM_REDSHIFT_HOST:   0.33679 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            41.2339   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              48.000000     # deg  
SIM_DEC:             0.000000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0751   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    -0.117     # coh model scatter 
SIM_PEAKMJD:         56217.590    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         2.7625e-05 
SIM_SALT2x1:         -1.4437 
SIM_SALT2c:          -0.0123 
SIM_SALT2mB:         22.0317 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.4636  # spectro-search efficiency 
SIM_TRESTMIN:        -13.00  # days 
SIM_TRESTMAX:        67.75  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  22.467 22.017 22.013 22.201  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 63 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56200.2190 DES-g shallow7 -3.46697e-02  1.2714e+01    0  1.000 32.370  2.31 1.374e+02  25.7090 
OBS: 56202.2230 DES-r shallow7  2.51784e+01  1.3422e+01    0  1.000 31.070  1.52 6.581e+01  23.9177 
OBS: 56202.2380 DES-i shallow7  6.79591e+01  1.4207e+01    0  1.000 32.280  1.61 2.026e+02  23.7692 
OBS: 56207.1560 DES-z shallow7  8.50370e+01  1.0716e+01 4096  1.000 33.300  2.94 2.142e+02  22.6391 
OBS: 56214.1640 DES-g shallow7  1.07067e+02  2.6505e+00 4096  1.000 32.370  1.60 3.638e+01  22.4332 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56214.1641
OBS: 56215.2380 DES-r shallow7  1.48226e+02  6.2618e+00 4096  1.000 31.040  1.45 2.760e+01  22.0501 
OBS: 56216.1640 DES-i shallow7  1.50700e+02  5.7388e+00 4096  1.000 32.260  1.64 7.619e+01  22.0400 
OBS: 56217.1520 DES-z shallow7  1.18404e+02  5.3836e+00 4096  1.000 33.220  1.36 2.142e+02  22.1990 
OBS: 56221.1130 DES-g shallow7  9.01695e+01  4.6752e+00 4096  1.000 32.210  2.43 3.916e+01  22.6373 
OBS: 56221.1950 DES-r shallow7  2.26671e+02  4.7783e+01    0  1.000 29.110  2.00 2.760e+01  22.0619 
OBS: 56221.3120 DES-i shallow7  1.52974e+02  8.5912e+00 4096  1.000 31.940  1.85 7.619e+01  22.0092 
OBS: 56222.1050 DES-z shallow7  1.54623e+02  1.8083e+01 4096  1.000 32.820  3.14 2.175e+02  22.2702 
OBS: 56228.1990 DES-g shallow7  4.99992e+01  6.9585e+00 4096  1.000 32.330  1.32 1.260e+02  23.2366 
OBS: 56228.2150 DES-r shallow7  1.26927e+02  1.5642e+01 4096  1.000 30.880  1.65 5.860e+01  22.3488 
OBS: 56228.2230 DES-i shallow7  1.41970e+02  2.9218e+01    0  1.000 31.290  1.52 1.772e+02  22.2603 
OBS: 56229.1990 DES-z shallow7  8.22596e+01  8.4831e+00 4096  1.000 33.170  1.50 2.946e+02  22.6534 
OBS: 56230.1560 DES-g shallow7  3.54107e+01  9.8531e+00    0  1.000 32.290  1.33 1.716e+02  23.4482 
OBS: 56230.1720 DES-r shallow7  1.14841e+02  1.8951e+01 4096  1.000 30.930  1.46 8.506e+01  22.4584 
OBS: 56230.1880 DES-i shallow7  1.35103e+02  2.2947e+01    0  1.000 32.110  1.70 2.652e+02  22.3773 
OBS: 56231.2300 DES-z shallow7  7.96884e+01  8.0866e+00 4096  1.000 33.180  1.48 2.872e+02  22.7746 
OBS: 56235.1600 DES-g shallow7  2.21959e+01  5.3485e+00 4096  1.000 32.350  1.86 6.962e+01  24.0377 
OBS: 56235.1720 DES-r shallow7  6.93155e+01  1.1776e+01 4096  1.000 30.940  2.14 3.511e+01  22.8004 
OBS: 56235.1880 DES-i shallow7  9.44902e+01  1.0355e+01 4096  1.000 32.190  2.17 1.001e+02  22.5841 
OBS: 56236.1880 DES-z shallow7  7.48094e+01  9.3739e+00 4096  1.000 33.210  2.25 2.253e+02  22.8509 
OBS: 56237.1990 DES-g shallow7  2.50665e+01  4.9776e+00    0  1.000 32.120  1.94 4.964e+01  24.2945 
OBS: 56237.2070 DES-r shallow7  4.09627e+01  9.8464e+00 4096  1.000 30.860  1.95 2.950e+01  22.9682 
OBS: 56237.2150 DES-i shallow7  1.02481e+02  1.2713e+01    0  1.000 31.610  1.90 8.195e+01  22.6429 
OBS: 56238.1990 DES-z shallow7  7.10308e+01  1.0918e+01 4096  1.000 32.970  2.21 2.142e+02  22.8566 
