SURVEY:   DES
SNID:             81311  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       52.500000  # deg (avg among obs)
DEC:      -27.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0097 +- 0.0015  # MW E(B-V) 
MWXT_MAG:  0.038 0.025 0.018 0.014  # MW mag-XT per band
PEAKMJD:  56292.473     # estimate for LC fit codes
MJD_TRIGGER:       56277.195  
MJD_DETECT_FIRST:  56273.160  
MJD_DETECT_LAST:   56350.043  

REDSHIFT_HELIO:   0.278841 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.278333 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           0    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.27815 
SIM_REDSHIFT_CMB:    0.27764  
SIM_REDSHIFT_HOST:   0.27815 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            40.7564   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              52.500000     # deg  
SIM_DEC:             -27.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0103   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    -0.047     # coh model scatter 
SIM_PEAKMJD:         56290.949    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         4.2869e-05 
SIM_SALT2x1:         0.1828 
SIM_SALT2c:          0.0590 
SIM_SALT2mB:         21.5546 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.7611  # spectro-search efficiency 
SIM_TRESTMIN:        -13.92  # days 
SIM_TRESTMAX:        47.08  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  21.712 21.420 21.447 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 30 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56273.1600 DES-g deep1  2.28787e+01  1.8340e+00 4096  1.000 32.900  1.50 4.763e+01  24.0469 
OBS: 56277.1950 DES-r deep1  1.05919e+02  1.1607e+00 4096  1.000 34.510  1.44 1.352e+02  22.4864 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56277.1953
OBS: 56277.2150 DES-i deep1  9.19398e+01  1.7455e+00 4096  1.000 34.610  1.47 2.286e+02  22.5260 
OBS: 56281.1600 DES-g deep1  1.52889e+02  2.3430e+00 4096  1.000 32.870  1.27 6.476e+01  22.0950 
OBS: 56287.2340 DES-r deep1  2.49847e+02  2.6550e+00 4096  1.000 34.400  1.87 2.230e+02  21.4803 
OBS: 56288.0780 DES-i deep1  2.54573e+02  4.5520e+00 4096  1.000 34.990  3.10 4.078e+02  21.5031 
OBS: 56288.2270 DES-g deep1  2.10555e+02  6.2848e+00 4096  1.000 32.940  1.82 1.431e+02  21.6914 
OBS: 56289.2580 DES-r deep1  2.70907e+02  3.1933e+00 4096  1.000 34.400  2.21 2.289e+02  21.4339 
OBS: 56292.1020 DES-g deep1  1.95982e+02  5.7171e+00 4096  1.000 32.090  1.12 9.376e+01  21.7420 
OBS: 56292.1090 DES-i deep1  2.68771e+02  3.2602e+00 4096  1.000 33.930  1.20 2.760e+02  21.4385 
OBS: 56297.0390 DES-r deep1  2.58956e+02  1.2935e+00 4096  1.000 34.390  1.31 1.352e+02  21.4967 
OBS: 56303.0390 DES-g deep1  1.13297e+02  1.6749e+00 4096  1.000 32.820  1.09 4.763e+01  22.3838 
OBS: 56303.0510 DES-i deep1  1.88367e+02  1.4992e+00 4096  1.000 34.540  1.13 2.286e+02  21.7900 
OBS: 56306.1020 DES-r deep1  1.80136e+02  1.6303e+00 4096  1.000 34.420  1.87 1.352e+02  21.8640 
OBS: 56311.0430 DES-g deep1  5.16163e+01  2.7587e+00 4096  1.000 32.950  1.61 7.080e+01  23.1880 
OBS: 56311.0550 DES-i deep1  1.43577e+02  2.4328e+00 4096  1.000 34.540  1.64 2.686e+02  22.1341 
OBS: 56317.0940 DES-r deep1  1.08250e+02  1.9712e+00 4096  1.000 34.440  1.70 1.904e+02  22.4716 
OBS: 56319.0860 DES-g deep1  3.03134e+01  4.0727e+00 4096  1.000 32.970  1.42 1.236e+02  23.9665 
OBS: 56319.0940 DES-i deep1  1.24947e+02  2.6001e+00 4096  1.000 34.590  1.55 3.198e+02  22.2479 
OBS: 56321.1020 DES-r deep1  8.84804e+01  2.7265e+00 4096  1.000 33.590  1.33 1.540e+02  22.6905 
OBS: 56327.0980 DES-g deep1  1.44461e+01  2.2924e+00 4096  1.000 32.910  1.92 4.763e+01  24.5583 
OBS: 56327.1050 DES-i deep1  9.96729e+01  2.6552e+00 4096  1.000 34.540  2.12 2.286e+02  22.4396 
OBS: 56333.0550 DES-r deep1  4.89048e+01  1.0059e+00 4096  1.000 34.370  1.12 1.352e+02  23.2932 
OBS: 56335.1020 DES-g deep1  6.22490e+00  2.5277e+00    0  1.000 32.920  2.15 4.763e+01  24.9516 
OBS: 56335.1130 DES-i deep1  7.32166e+01  2.5163e+00 4096  1.000 34.570  2.07 2.286e+02  22.8300 
OBS: 56341.0660 DES-r deep1  3.50500e+01  1.3732e+00 4096  1.000 34.430  1.44 1.563e+02  23.6143 
OBS: 56346.0000 DES-g deep1  1.23302e+01  3.4540e+00    0  1.000 32.960  1.54 9.580e+01  25.1169 
OBS: 56346.0080 DES-i deep1  5.52360e+01  2.5869e+00 4096  1.000 34.590  1.75 2.840e+02  23.2351 
