SURVEY:   DES
SNID:             81818  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       36.750000  # deg (avg among obs)
DEC:      -4.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0283 +- 0.0045  # MW E(B-V) 
MWXT_MAG:  0.106 0.071 0.052 0.040  # MW mag-XT per band
PEAKMJD:  56177.988     # estimate for LC fit codes
MJD_TRIGGER:       56179.312  
MJD_DETECT_FIRST:  56179.172  
MJD_DETECT_LAST:   56246.180  

REDSHIFT_HELIO:   0.301548 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.300517 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           7    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.30168 
SIM_REDSHIFT_CMB:    0.30065  
SIM_REDSHIFT_HOST:   0.30168 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            40.9555   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              36.750000     # deg  
SIM_DEC:             -4.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0292   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    -0.063     # coh model scatter 
SIM_PEAKMJD:         56179.695    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         3.7404e-05 
SIM_SALT2x1:         -1.1914 
SIM_SALT2c:          -0.0171 
SIM_SALT2mB:         21.7027 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.6362  # spectro-search efficiency 
SIM_TRESTMIN:        -0.40  # days 
SIM_TRESTMAX:        66.50  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  21.905 21.673 21.708 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 42 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56179.1720 DES-g shallow6  1.76967e+02  3.4683e+00 4096  1.000 32.420  2.21 3.638e+01  21.8922 
OBS: 56179.3120 DES-r shallow6  2.13090e+02  1.6127e+01 4096  1.000 30.750  2.81 3.001e+01  21.6739 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56179.3125
OBS: 56179.3280 DES-i shallow6  2.14463e+02  1.3054e+01 4096  1.000 32.050  2.85 8.396e+01  21.7123 
OBS: 56188.1480 DES-g shallow6  1.02686e+02  1.4162e+01 4096  1.000 31.230  3.26 3.638e+01  22.4340 
OBS: 56188.1600 DES-r shallow6  1.73803e+02  2.1629e+01 4096  1.000 30.230  2.53 2.760e+01  21.8638 
OBS: 56188.2110 DES-i shallow6  1.85272e+02  1.3447e+01 4096  1.000 31.580  2.09 7.619e+01  21.8620 
OBS: 56200.1800 DES-g shallow6  4.81188e+01  1.5905e+01    0  1.000 32.420  2.76 1.505e+02  23.8198 
OBS: 56200.1880 DES-r shallow6  7.58305e+01  2.4494e+01 4096  1.000 31.040  2.57 6.918e+01  22.5749 
OBS: 56200.1950 DES-i shallow6  1.32726e+02  2.3674e+01 4096  1.000 32.400  2.88 2.110e+02  22.3985 
OBS: 56210.2030 DES-g shallow6  1.07298e+01  3.7301e+00    0  1.000 32.420  2.58 3.638e+01  24.7283 
OBS: 56210.2110 DES-r shallow6  3.27300e+01  1.0693e+01    0  1.000 31.190  3.06 2.760e+01  23.3043 
OBS: 56210.2190 DES-i shallow6  9.43431e+01  9.2613e+00 4096  1.000 32.170  2.49 7.619e+01  22.6254 
OBS: 56220.1880 DES-g shallow6  1.18797e+01  1.9197e+00    0  1.000 32.370  1.25 3.638e+01  25.1871 
OBS: 56220.1950 DES-r shallow6  2.59163e+01  5.5022e+00    0  1.000 31.020  1.33 2.760e+01  23.9037 
OBS: 56220.2030 DES-i shallow6  5.40909e+01  5.3104e+00 4096  1.000 32.200  1.46 7.619e+01  23.1774 
OBS: 56222.2030 DES-g shallow6  1.25007e+01  4.9160e+00    0  1.000 32.140  2.20 4.396e+01  25.2478 
OBS: 56222.2110 DES-r shallow6  1.50915e+01  1.3536e+01    0  1.000 30.390  1.81 2.842e+01  23.9608 
OBS: 56222.2270 DES-i shallow6  6.14884e+01  1.0189e+01 4096  1.000 31.810  1.97 7.619e+01  23.2911 
OBS: 56229.1450 DES-g shallow6  1.71219e+01  9.6136e+00    0  1.000 32.280  1.36 1.623e+02  25.5029 
OBS: 56229.1560 DES-r shallow6  2.20853e+01  1.7869e+01    0  1.000 30.780  1.28 8.002e+01  24.1595 
OBS: 56229.1720 DES-i shallow6  2.79107e+01  2.1385e+01    0  1.000 31.850  1.33 2.489e+02  23.5685 
OBS: 56231.1910 DES-g shallow6  8.55992e+00  8.2929e+00    0  1.000 32.300  1.38 1.405e+02  25.5863 
OBS: 56231.1990 DES-r shallow6  6.07442e+00  1.6145e+01    0  1.000 30.940  1.59 6.731e+01  24.2173 
OBS: 56231.2070 DES-i shallow6  4.31610e+01  1.5828e+01    0  1.000 32.160  1.58 2.061e+02  23.6175 
OBS: 56236.1330 DES-g shallow6  8.10713e+00  3.6834e+00    0  1.000 32.270  2.22 3.638e+01  25.6977 
OBS: 56236.1450 DES-r shallow6  1.63814e+01  8.7809e+00    0  1.000 30.920  1.96 2.760e+01  24.3398 
OBS: 56236.1600 DES-i shallow6  3.20858e+01  7.1920e+00    0  1.000 32.170  1.94 7.619e+01  23.7323 
OBS: 56238.1480 DES-g shallow6  8.28660e-01  3.6721e+00    0  1.000 32.030  1.78 3.638e+01  25.7079 
