SURVEY:   DES
SNID:             82795  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       52.500000  # deg (avg among obs)
DEC:      -30.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0139 +- 0.0022  # MW E(B-V) 
MWXT_MAG:  0.058 0.038 0.028 0.021  # MW mag-XT per band
PEAKMJD:  56239.148     # estimate for LC fit codes
MJD_TRIGGER:       56229.059  
MJD_DETECT_FIRST:  56228.188  
MJD_DETECT_LAST:   56319.043  

REDSHIFT_HELIO:   0.207521 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.207065 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           4    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.20747 
SIM_REDSHIFT_CMB:    0.20702  
SIM_REDSHIFT_HOST:   0.20747 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            40.0359   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              52.500000     # deg  
SIM_DEC:             -30.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0158   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    0.089     # coh model scatter 
SIM_PEAKMJD:         56240.941    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         8.5996e-05 
SIM_SALT2x1:         0.5954 
SIM_SALT2c:          0.0660 
SIM_SALT2mB:         20.7988 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.8864  # spectro-search efficiency 
SIM_TRESTMIN:        -16.23  # days 
SIM_TRESTMAX:        66.37  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  21.118 20.910 21.068 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 46 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56221.3550 DES-g shallow3  9.54320e+00  4.2960e+00    0  1.000 31.900  1.84 3.638e+01  24.9299 
OBS: 56222.0740 DES-r shallow3  5.54018e+01  1.9922e+01    0  1.000 30.720  3.63 2.822e+01  23.8442 
OBS: 56222.0900 DES-i shallow3  4.19968e+01  1.2301e+01    0  1.000 32.050  2.91 7.798e+01  23.8457 
OBS: 56228.1880 DES-g shallow3  1.52545e+02  5.8339e+00 4096  1.000 32.220  1.17 1.050e+02  22.0180 
OBS: 56229.0470 DES-r shallow3  1.37550e+02  4.8714e+01    0  1.000 29.580  1.76 5.185e+01  21.7228 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56229.0586
OBS: 56229.0590 DES-i shallow3  2.01174e+02  1.8592e+01 4096  1.000 31.950  2.05 1.531e+02  21.7583 
OBS: 56230.1450 DES-g shallow3  2.09168e+02  6.8465e+00 4096  1.000 32.230  1.13 1.290e+02  21.6877 
OBS: 56231.0700 DES-r shallow3  3.00574e+02  1.2449e+01 4096  1.000 30.980  1.62 5.033e+01  21.4315 
OBS: 56231.0860 DES-i shallow3  2.72241e+02  1.0551e+01 4096  1.000 32.160  1.44 1.482e+02  21.4817 
OBS: 56235.1450 DES-g shallow3  3.42778e+02  5.4335e+00 4096  1.000 32.290  1.82 6.355e+01  21.1879 
OBS: 56236.0270 DES-r shallow3  3.80999e+02  1.7388e+01 4096  1.000 30.670  2.99 2.760e+01  21.0281 
OBS: 56236.0350 DES-i shallow3  3.67937e+02  2.0726e+01 4096  1.000 31.450  2.86 7.619e+01  21.1424 
OBS: 56237.1880 DES-g shallow3  3.66564e+02  4.6164e+00 4096  1.000 31.860  1.59 3.638e+01  21.1231 
OBS: 56238.0310 DES-r shallow3  4.34308e+02  1.2300e+01 4096  1.000 30.980  2.74 2.760e+01  20.9602 
OBS: 56238.0390 DES-i shallow3  3.61653e+02  1.1294e+01 4096  1.000 32.170  3.00 7.619e+01  21.1065 
OBS: 56243.1880 DES-g shallow3  3.40949e+02  3.0785e+00 4096  1.000 32.260  1.37 3.638e+01  21.1741 
OBS: 56244.0310 DES-r shallow3  4.33755e+02  1.3654e+01 4096  1.000 31.010  3.17 2.760e+01  20.9196 
OBS: 56244.0390 DES-i shallow3  3.72111e+02  1.0948e+01 4096  1.000 32.180  2.93 7.619e+01  21.0641 
OBS: 56245.1800 DES-g shallow3  3.16650e+02  2.5928e+00 4096  1.000 32.440  1.30 3.638e+01  21.2524 
OBS: 56246.0430 DES-r shallow3  4.38880e+02  8.1690e+00 4096  1.000 31.030  1.75 2.760e+01  20.9575 
OBS: 56246.0470 DES-i shallow3  3.78130e+02  6.7610e+00 4096  1.000 32.230  1.83 7.619e+01  21.0899 
OBS: 56248.2230 DES-g shallow3  2.79913e+02  2.7689e+00 4096  1.000 32.330  1.34 3.638e+01  21.4128 
OBS: 56254.1990 DES-r shallow3  3.11397e+02  7.2072e+00 4096  1.000 31.090  1.40 3.355e+01  21.2781 
OBS: 56254.2110 DES-i shallow3  2.51948e+02  6.6138e+00 4096  1.000 32.220  1.45 9.512e+01  21.4880 
OBS: 56260.1800 DES-g shallow3  1.08825e+02  6.1565e+00 4096  1.000 32.390  1.29 1.193e+02  22.4853 
OBS: 56261.0820 DES-r shallow3  2.24329e+02  1.6275e+01 4096  1.000 30.230  1.22 4.376e+01  21.6382 
OBS: 56261.0900 DES-i shallow3  1.92980e+02  1.9515e+01 4096  1.000 31.210  1.31 1.266e+02  21.7251 
OBS: 56268.1880 DES-g shallow3  4.64238e+01  2.5333e+00 4096  1.000 32.310  1.52 3.638e+01  23.2473 
OBS: 56274.2030 DES-r shallow3  1.47121e+02  7.0424e+00 4096  1.000 30.930  1.49 2.760e+01  22.1460 
OBS: 56274.2190 DES-i shallow3  1.61263e+02  5.8606e+00 4096  1.000 32.050  1.37 7.619e+01  21.8931 
OBS: 56278.2150 DES-g shallow3  3.22277e+01  2.0531e+00 4096  1.000 32.400  1.34 3.638e+01  23.9151 
OBS: 56283.2110 DES-r shallow3  9.41069e+01  7.0844e+00 4096  1.000 30.970  1.32 3.411e+01  22.5832 
OBS: 56283.2150 DES-i shallow3  1.25333e+02  6.8894e+00 4096  1.000 32.140  1.40 9.728e+01  22.3133 
OBS: 56288.1910 DES-g shallow3  2.33739e+01  6.6606e+00    0  1.000 32.390  1.58 1.067e+02  24.3032 
OBS: 56289.1990 DES-r shallow3  6.33092e+01  1.0107e+01 4096  1.000 30.990  1.50 4.563e+01  22.8433 
OBS: 56289.2150 DES-i shallow3  8.99669e+01  1.1236e+01 4096  1.000 32.200  1.81 1.318e+02  22.6031 
OBS: 56296.0390 DES-g shallow3  1.51681e+01  2.0208e+00 4096  1.000 32.310  1.24 3.638e+01  24.4853 
OBS: 56298.0470 DES-r shallow3  6.59100e+01  6.4938e+00 4096  1.000 30.930  1.42 2.760e+01  23.0817 
OBS: 56298.0550 DES-i shallow3  5.95791e+01  5.3277e+00 4096  1.000 32.090  1.32 7.619e+01  22.9363 
OBS: 56305.0940 DES-g shallow3  9.13273e+00  1.9012e+00 4096  1.000 32.350  1.22 3.638e+01  24.6448 
OBS: 56308.0510 DES-r shallow3  4.78017e+01  4.7863e+00 4096  1.000 31.020  1.11 2.810e+01  23.2169 
OBS: 56308.0620 DES-i shallow3  5.27513e+01  3.9372e+00 4096  1.000 32.200  1.05 7.778e+01  23.2079 
OBS: 56313.0900 DES-g shallow3  1.18191e+01  3.2011e+00    0  1.000 32.360  1.17 6.665e+01  24.7843 
OBS: 56319.0350 DES-r shallow3  4.05705e+01  1.4455e+01    0  1.000 30.790  2.16 3.759e+01  23.3678 
OBS: 56319.0430 DES-i shallow3  3.41467e+01  6.9521e+00 4096  1.000 32.190  1.38 1.058e+02  23.5115 
OBS: 56321.0510 DES-g shallow3  9.63405e+00  3.6898e+00    0  1.000 32.180  1.11 6.878e+01  24.9233 
END_PHOTOMETRY: 

