SURVEY:   DES
SNID:             83904  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       52.500000  # deg (avg among obs)
DEC:      -33.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0120 +- 0.0019  # MW E(B-V) 
MWXT_MAG:  0.028 0.019 0.014 0.010  # MW mag-XT per band
PEAKMJD:  56171.137     # estimate for LC fit codes
MJD_TRIGGER:       56178.234  
MJD_DETECT_FIRST:  56178.219  
MJD_DETECT_LAST:   56248.207  

REDSHIFT_HELIO:   0.150704 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.150294 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           3    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.15047 
SIM_REDSHIFT_CMB:    0.15006  
SIM_REDSHIFT_HOST:   0.15047 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            39.2641   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              52.500000     # deg  
SIM_DEC:             -33.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0077   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    -0.047     # coh model scatter 
SIM_PEAKMJD:         56171.098    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         1.6966e-04 
SIM_SALT2x1:         -0.2854 
SIM_SALT2c:          0.0381 
SIM_SALT2mB:         20.0611 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.9750  # spectro-search efficiency 
SIM_TRESTMIN:        6.19  # days 
SIM_TRESTMAX:        67.06  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  20.146 20.126 20.350 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 39 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56178.2190 DES-g shallow2  6.73812e+02  6.4778e+00 4096  1.000 32.350  2.69 5.249e+01  20.4468 
OBS: 56178.2340 DES-r shallow2  8.02694e+02  1.4896e+01 4096  1.000 30.960  2.90 3.077e+01  20.2364 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56178.2344
OBS: 56178.2500 DES-i shallow2  6.69666e+02  1.7462e+01 4096  1.000 32.100  3.86 8.630e+01  20.5089 
OBS: 56186.2030 DES-g shallow2  3.47530e+02  3.0515e+00 4096  1.000 32.380  1.56 3.638e+01  21.1497 
OBS: 56186.2110 DES-r shallow2  5.35693e+02  7.7366e+00 4096  1.000 31.040  1.57 2.760e+01  20.6633 
OBS: 56186.2190 DES-i shallow2  4.09487e+02  5.9159e+00 4096  1.000 32.170  1.47 7.619e+01  20.9612 
OBS: 56189.3120 DES-g shallow2  2.45909e+02  3.3892e+00 4096  1.000 32.120  1.49 3.638e+01  21.4916 
OBS: 56189.3240 DES-r shallow2  4.70481e+02  3.9791e+01 4096  1.000 29.150  1.69 2.760e+01  20.8252 
OBS: 56189.3400 DES-i shallow2  3.47065e+02  4.8778e+01 4096  1.000 29.900  1.62 7.619e+01  21.0241 
OBS: 56202.1910 DES-g shallow2  7.77320e+01  6.9709e+00 4096  1.000 32.390  1.73 1.013e+02  22.6292 
OBS: 56202.1990 DES-r shallow2  2.78108e+02  1.0872e+01 4096  1.000 31.060  1.69 4.489e+01  21.3793 
OBS: 56202.2070 DES-i shallow2  3.32583e+02  1.1303e+01 4096  1.000 32.230  1.86 1.311e+02  21.1888 
OBS: 56215.1950 DES-g shallow2  5.49861e+01  2.1923e+00 4096  1.000 32.430  1.44 3.638e+01  23.2067 
OBS: 56215.2030 DES-r shallow2  1.69105e+02  6.8702e+00 4096  1.000 31.060  1.63 2.760e+01  22.0158 
OBS: 56215.2110 DES-i shallow2  1.80577e+02  4.7387e+00 4096  1.000 32.250  1.31 7.619e+01  21.8648 
OBS: 56221.1480 DES-g shallow2  4.22478e+01  1.1516e+01    0  1.000 31.230  2.43 4.006e+01  23.3231 
OBS: 56221.1600 DES-r shallow2  8.68381e+01  1.6876e+01 4096  1.000 30.230  1.96 2.791e+01  22.1834 
OBS: 56221.1760 DES-i shallow2  1.55893e+02  2.0666e+01 4096  1.000 31.000  1.87 7.709e+01  22.1451 
OBS: 56228.1370 DES-g shallow2  3.82935e+01  6.6495e+00 4096  1.000 32.290  1.49 1.027e+02  23.4538 
OBS: 56228.1450 DES-r shallow2  1.26804e+02  1.0205e+01 4096  1.000 30.910  1.42 4.451e+01  22.3323 
OBS: 56228.1560 DES-i shallow2  1.22191e+02  9.9326e+00 4096  1.000 31.970  1.31 1.296e+02  22.3860 
OBS: 56230.1050 DES-g shallow2  5.96965e+01  8.6497e+00    0  1.000 32.210  1.47 1.260e+02  23.4890 
OBS: 56230.1130 DES-r shallow2  1.06522e+02  1.4141e+01 4096  1.000 30.900  1.67 5.315e+01  22.3691 
OBS: 56230.1210 DES-i shallow2  1.20696e+02  1.3630e+01 4096  1.000 32.070  1.64 1.567e+02  22.4449 
OBS: 56235.1090 DES-g shallow2  3.15783e+01  4.6443e+00 4096  1.000 32.280  2.81 3.638e+01  23.5803 
OBS: 56235.1170 DES-r shallow2  9.92218e+01  1.2231e+01 4096  1.000 30.870  2.58 2.760e+01  22.4656 
OBS: 56235.1250 DES-i shallow2  1.04191e+02  1.2844e+01    0  1.000 32.000  2.96 7.619e+01  22.6005 
OBS: 56237.1450 DES-g shallow2  3.22645e+01  4.8003e+00 4096  1.000 31.900  2.04 3.638e+01  23.6174 
OBS: 56237.1480 DES-r shallow2  9.51356e+01  1.0616e+01 4096  1.000 30.660  1.83 2.760e+01  22.5048 
OBS: 56237.1600 DES-i shallow2  8.92476e+01  1.1733e+01    0  1.000 31.680  2.01 7.619e+01  22.6639 
OBS: 56243.1410 DES-g shallow2  2.84411e+01  2.7024e+00 4096  1.000 32.350  1.72 3.638e+01  23.7268 
OBS: 56243.1520 DES-r shallow2  8.95037e+01  7.2914e+00 4096  1.000 31.000  1.70 2.760e+01  22.6205 
OBS: 56243.1680 DES-i shallow2  7.76471e+01  6.7222e+00 4096  1.000 32.140  1.75 7.619e+01  22.8508 
OBS: 56245.1290 DES-g shallow2  3.53617e+01  3.0425e+00 4096  1.000 32.230  1.73 3.638e+01  23.7631 
OBS: 56245.1370 DES-r shallow2  9.79869e+01  8.1516e+00 4096  1.000 30.690  1.42 2.760e+01  22.6588 
OBS: 56245.1520 DES-i shallow2  6.85113e+01  5.9832e+00 4096  1.000 32.050  1.43 7.619e+01  22.9125 
OBS: 56247.3240 DES-g shallow2  2.77946e+01  2.3234e+00 4096  1.000 32.330  1.44 3.638e+01  23.8031 
OBS: 56247.3400 DES-r shallow2  8.35282e+01  7.0285e+00 4096  1.000 31.020  1.67 2.760e+01  22.7012 
OBS: 56248.2070 DES-i shallow2  5.57484e+01  5.6990e+00 4096  1.000 32.180  1.54 7.619e+01  23.0076 
END_PHOTOMETRY: 

