SURVEY:   DES
SNID:             85843  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       52.500000  # deg (avg among obs)
DEC:      -36.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0120 +- 0.0019  # MW E(B-V) 
MWXT_MAG:  0.046 0.030 0.022 0.017  # MW mag-XT per band
PEAKMJD:  56172.555     # estimate for LC fit codes
MJD_TRIGGER:       56178.203  
MJD_DETECT_FIRST:  56178.188  
MJD_DETECT_LAST:   56247.305  

REDSHIFT_HELIO:   0.272124 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.271699 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           2    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.27145 
SIM_REDSHIFT_CMB:    0.27102  
SIM_REDSHIFT_HOST:   0.27145 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            40.6964   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              52.500000     # deg  
SIM_DEC:             -36.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0125   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    -0.083     # coh model scatter 
SIM_PEAKMJD:         56171.730    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         4.3737e-05 
SIM_SALT2x1:         1.1530 
SIM_SALT2c:          0.1134 
SIM_SALT2mB:         21.5329 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.8052  # spectro-search efficiency 
SIM_TRESTMIN:        5.08  # days 
SIM_TRESTMAX:        68.12  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  21.788 21.365 21.337 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 45 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56178.1880 DES-g shallow1  1.41056e+02  7.5310e+00 4096  1.000 32.320  4.70 3.638e+01  22.0139 
OBS: 56178.1950 DES-r shallow1  2.85394e+02  2.2050e+01 4096  1.000 31.000  5.26 2.760e+01  21.4363 
OBS: 56178.2030 DES-i shallow1  2.86852e+02  1.2161e+01 4096  1.000 32.240  3.47 7.619e+01  21.3814 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56178.2031
OBS: 56186.1560 DES-g shallow1  9.69195e+01  2.6616e+00 4096  1.000 32.380  1.64 3.638e+01  22.4892 
OBS: 56186.1720 DES-r shallow1  2.06447e+02  7.5112e+00 4096  1.000 30.960  1.61 2.760e+01  21.7143 
OBS: 56186.1880 DES-i shallow1  1.95350e+02  6.2284e+00 4096  1.000 32.190  1.66 7.619e+01  21.7553 
OBS: 56189.2730 DES-g shallow1  8.01568e+01  5.7181e+00 4096  1.000 31.740  2.07 3.638e+01  22.7851 
OBS: 56189.2810 DES-r shallow1  1.55164e+02  3.0286e+01 4096  1.000 29.770  2.33 2.760e+01  21.8777 
OBS: 56189.2890 DES-i shallow1  1.71687e+02  1.0691e+01 4096  1.000 31.800  2.03 7.619e+01  21.9165 
OBS: 56201.2190 DES-g shallow1  2.88968e+01  9.1742e+00    0  1.000 32.370  2.10 1.087e+02  23.9377 
OBS: 56201.2340 DES-r shallow1  9.64416e+01  1.4309e+01 4096  1.000 31.050  2.23 4.611e+01  22.4454 
OBS: 56202.1600 DES-i shallow1  1.36186e+02  9.5332e+00 4096  1.000 32.270  1.69 1.272e+02  22.1063 
OBS: 56214.2380 DES-g shallow1  1.08576e+01  1.8771e+00 4096  1.000 32.410  1.27 3.638e+01  24.8147 
OBS: 56215.1640 DES-r shallow1  6.06200e+01  6.4859e+00 4096  1.000 31.000  1.52 2.760e+01  23.1100 
OBS: 56215.1800 DES-i shallow1  1.11965e+02  5.3314e+00 4096  1.000 32.260  1.53 7.619e+01  22.4821 
OBS: 56221.1050 DES-g shallow1  7.61150e+00  5.7872e+00    0  1.000 31.970  2.42 4.010e+01  24.9773 
OBS: 56221.1170 DES-r shallow1  4.12825e+01  1.2433e+01    0  1.000 30.780  2.41 2.792e+01  23.3771 
OBS: 56221.1250 DES-i shallow1  8.99466e+01  1.3301e+01    0  1.000 31.720  2.34 7.712e+01  22.7536 
OBS: 56228.1090 DES-g shallow1  3.28532e+00  8.6317e+00    0  1.000 32.050  1.59 1.007e+02  25.0860 
OBS: 56228.1130 DES-r shallow1  5.44836e+01  1.1351e+01    0  1.000 30.760  1.43 4.348e+01  23.5844 
OBS: 56228.1210 DES-i shallow1  5.19702e+01  1.3043e+01 4096  1.000 31.900  1.67 1.261e+02  23.0355 
OBS: 56230.0590 DES-g shallow1  3.47102e+01  7.7788e+00    0  1.000 32.350  1.54 1.233e+02  25.1347 
OBS: 56230.0700 DES-r shallow1  4.56118e+01  1.2127e+01    0  1.000 30.980  1.60 5.143e+01  23.6191 
OBS: 56230.0860 DES-i shallow1  7.66661e+01  1.0532e+01    0  1.000 32.160  1.43 1.509e+02  23.0998 
OBS: 56235.0620 DES-g shallow1 -1.44262e+00  4.7063e+00    0  1.000 32.080  2.39 3.638e+01  25.2796 
OBS: 56235.0740 DES-r shallow1  2.18754e+01  1.7326e+01    0  1.000 30.670  3.08 2.760e+01  23.6702 
OBS: 56235.0900 DES-i shallow1  4.53520e+01  2.0385e+01    0  1.000 31.670  3.48 7.619e+01  23.2309 
OBS: 56236.3400 DES-g shallow1  5.01359e+00  4.1147e+00    0  1.000 32.360  1.88 5.325e+01  25.3194 
