SURVEY:   DES
SNID:             86889  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       48.000000  # deg (avg among obs)
DEC:      0.000000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0713 +- 0.0114  # MW E(B-V) 
MWXT_MAG:  0.261 0.174 0.127 0.097  # MW mag-XT per band
PEAKMJD:  56266.621     # estimate for LC fit codes
MJD_TRIGGER:       56260.203  
MJD_DETECT_FIRST:  56260.188  
MJD_DETECT_LAST:   56308.102  

REDSHIFT_HELIO:   0.243578 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.242818 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           8    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.24397 
SIM_REDSHIFT_CMB:    0.24321  
SIM_REDSHIFT_HOST:   0.24397 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            40.4298   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              48.000000     # deg  
SIM_DEC:             0.000000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0715   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    -0.102     # coh model scatter 
SIM_PEAKMJD:         56266.652    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         5.2617e-05 
SIM_SALT2x1:         -1.1072 
SIM_SALT2c:          0.0351 
SIM_SALT2mB:         21.3322 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.8084  # spectro-search efficiency 
SIM_TRESTMIN:        -18.07  # days 
SIM_TRESTMAX:        67.85  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  21.640 21.361 21.329 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 36 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56245.1910 DES-g shallow7  1.86865e+00  6.5151e+00    0  1.000 31.200  1.47 3.638e+01 99 
OBS: 56245.1990 DES-r shallow7 -2.97663e-01  6.1162e+00    0  1.000 31.010  1.49 2.760e+01 99 
OBS: 56245.2030 DES-i shallow7 -6.85685e+00  5.7305e+00    0  1.000 32.140  1.51 7.619e+01 99 
OBS: 56248.2300 DES-g shallow7 -4.44582e+00  2.4311e+00    0  1.000 32.320  1.54 3.638e+01  30.1346 
OBS: 56248.2380 DES-r shallow7  9.26576e+00  7.3340e+00    0  1.000 30.810  1.48 2.760e+01  25.0239 
OBS: 56248.2500 DES-i shallow7 -2.18355e+00  7.1763e+00    0  1.000 31.910  1.53 7.619e+01  24.7826 
OBS: 56260.1880 DES-g shallow7  1.89435e+02  8.1393e+00 4096  1.000 32.420  1.41 1.486e+02  21.8089 
OBS: 56260.1950 DES-r shallow7  2.39543e+02  1.4456e+01 4096  1.000 31.000  1.44 6.877e+01  21.6403 
OBS: 56260.2030 DES-i shallow7  2.38838e+02  1.3909e+01 4096  1.000 32.210  1.42 2.096e+02  21.5497 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56260.2031
OBS: 56268.1950 DES-g shallow7  2.16697e+02  3.0878e+00 4096  1.000 32.340  1.71 3.638e+01  21.6819 
OBS: 56268.1990 DES-r shallow7  3.00913e+02  8.2563e+00 4096  1.000 30.910  1.65 2.760e+01  21.3604 
OBS: 56268.2150 DES-i shallow7  2.88580e+02  6.6804e+00 4096  1.000 32.130  1.65 7.680e+01  21.3250 
OBS: 56278.2230 DES-g shallow7  1.08908e+02  2.6051e+00 4096  1.000 32.380  1.58 3.638e+01  22.4602 
OBS: 56279.1800 DES-r shallow7  2.16778e+02  7.5364e+00 4096  1.000 30.910  1.53 2.760e+01  21.7589 
OBS: 56279.1990 DES-i shallow7  1.76284e+02  7.8697e+00 4096  1.000 32.180  2.11 7.619e+01  21.7914 
OBS: 56288.1990 DES-g shallow7  2.41892e+01  8.9349e+00    0  1.000 32.360  1.72 1.282e+02  23.6421 
OBS: 56288.2150 DES-r shallow7  1.17584e+02  1.7907e+01 4096  1.000 31.010  2.16 5.800e+01  22.2791 
OBS: 56289.0510 DES-i shallow7  1.48422e+02  1.7960e+01 4096  1.000 32.570  3.27 1.646e+02  22.0901 
OBS: 56296.0780 DES-g shallow7  1.69002e+01  1.9033e+00 4096  1.000 32.300  1.15 3.638e+01  24.3257 
OBS: 56296.0900 DES-r shallow7  9.11897e+01  6.0185e+00 4096  1.000 30.900  1.25 2.760e+01  22.7047 
OBS: 56298.0900 DES-i shallow7  1.07177e+02  7.6381e+00 4096  1.000 32.120  1.95 7.619e+01  22.3535 
OBS: 56306.0550 DES-g shallow7  1.22830e+01  2.5621e+00 4096  1.000 32.330  1.62 3.638e+01  24.8104 
OBS: 56306.0620 DES-r shallow7  5.49721e+01  7.0605e+00 4096  1.000 30.930  1.56 2.760e+01  23.2712 
OBS: 56308.1020 DES-i shallow7  6.44268e+01  5.3040e+00 4096  1.000 32.240  1.51 7.619e+01  22.9829 
OBS: 56317.1250 DES-g shallow7  2.58917e+00  7.4550e+00    0  1.000 32.310  1.79 9.809e+01  25.0301 
OBS: 56318.0430 DES-r shallow7  2.88655e+01  2.0205e+01    0  1.000 30.990  3.32 4.148e+01  23.6735 
OBS: 56319.0700 DES-i shallow7  5.01576e+01  7.9767e+00    0  1.000 32.170  1.48 1.111e+02  23.3792 
OBS: 56326.0900 DES-g shallow7  5.52824e+00  2.4111e+00    0  1.000 32.270  1.45 3.638e+01  25.2603 
OBS: 56326.1020 DES-r shallow7  3.62695e+01  7.3910e+00    0  1.000 30.950  1.68 2.760e+01  23.8764 
OBS: 56332.0860 DES-i shallow7  2.55161e+01  6.9467e+00    0  1.000 32.190  1.91 7.619e+01  23.7002 
OBS: 56334.0860 DES-g shallow7  9.41160e+00  2.8092e+00    0  1.000 32.340  1.80 3.638e+01  25.5121 
OBS: 56335.0820 DES-r shallow7  3.77303e+01  9.0240e+00    0  1.000 30.950  2.06 2.760e+01  24.1016 
OBS: 56341.0550 DES-i shallow7  3.54827e+01  1.3623e+01    0  1.000 32.170  2.58 1.093e+02  23.9180 
OBS: 56345.9920 DES-g shallow7 -7.49840e+00  6.1200e+00    0  1.000 32.320  1.90 7.633e+01  25.8932 
OBS: 56346.0390 DES-r shallow7 -9.76752e-01  9.8354e+00    0  1.000 31.010  1.94 3.485e+01  24.3807 
OBS: 56351.0040 DES-i shallow7  2.78394e+01  8.4876e+00    0  1.000 32.130  2.21 7.619e+01  24.1597 
END_PHOTOMETRY: 

