SURVEY:   DES
SNID:             87578  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       36.750000  # deg (avg among obs)
DEC:      -4.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0283 +- 0.0045  # MW E(B-V) 
MWXT_MAG:  0.122 0.081 0.060 0.045  # MW mag-XT per band
PEAKMJD:  56215.242     # estimate for LC fit codes
MJD_TRIGGER:       56210.211  
MJD_DETECT_FIRST:  56210.203  
MJD_DETECT_LAST:   56266.168  

REDSHIFT_HELIO:   0.228767 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.227794 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           7    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.22839 
SIM_REDSHIFT_CMB:    0.22742  
SIM_REDSHIFT_HOST:   0.22839 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            40.2657   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              36.750000     # deg  
SIM_DEC:             -4.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0335   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    0.083     # coh model scatter 
SIM_PEAKMJD:         56215.156    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         6.6069e-05 
SIM_SALT2x1:         -2.1083 
SIM_SALT2c:          -0.0346 
SIM_SALT2mB:         21.0850 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.7858  # spectro-search efficiency 
SIM_TRESTMIN:        -12.20  # days 
SIM_TRESTMAX:        65.91  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  21.489 21.310 21.385 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 45 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56200.1800 DES-g shallow6  1.65649e+01  1.5895e+01    0  1.000 32.420  2.76 1.505e+02  24.5702 
OBS: 56200.1880 DES-r shallow6  3.36977e+01  2.4461e+01    0  1.000 31.040  2.57 6.918e+01  23.9625 
OBS: 56200.1950 DES-i shallow6  2.95815e+01  2.3650e+01    0  1.000 32.400  2.88 2.110e+02  23.6581 
OBS: 56210.2030 DES-g shallow6  2.28855e+02  4.0325e+00 4096  1.000 32.420  2.58 3.638e+01  21.5970 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56210.2109
OBS: 56210.2110 DES-r shallow6  2.58477e+02  1.1040e+01 4096  1.000 31.190  3.06 2.760e+01  21.5122 
OBS: 56210.2190 DES-i shallow6  2.51827e+02  9.3758e+00 4096  1.000 32.170  2.49 7.619e+01  21.5322 
OBS: 56220.1880 DES-g shallow6  2.00894e+02  2.4116e+00 4096  1.000 32.370  1.25 3.638e+01  21.7555 
OBS: 56220.1950 DES-r shallow6  2.92423e+02  6.3789e+00 4096  1.000 31.020  1.33 2.760e+01  21.3625 
OBS: 56220.2030 DES-i shallow6  2.63414e+02  5.5641e+00 4096  1.000 32.200  1.46 7.619e+01  21.4607 
OBS: 56222.2030 DES-g shallow6  1.68886e+02  5.1328e+00 4096  1.000 32.140  2.20 4.396e+01  21.9380 
OBS: 56222.2110 DES-r shallow6  2.59505e+02  1.4153e+01 4096  1.000 30.390  1.81 2.842e+01  21.4363 
OBS: 56222.2270 DES-i shallow6  2.56214e+02  1.0368e+01 4096  1.000 31.810  1.97 7.619e+01  21.5531 
OBS: 56229.1450 DES-g shallow6  6.23786e+01  9.6424e+00 4096  1.000 32.280  1.36 1.623e+02  22.8396 
OBS: 56229.1560 DES-r shallow6  1.39932e+02  1.8030e+01 4096  1.000 30.780  1.28 8.002e+01  21.8553 
OBS: 56229.1720 DES-i shallow6  1.67250e+02  2.1444e+01 4096  1.000 31.850  1.33 2.489e+02  21.9751 
OBS: 56231.1910 DES-g shallow6  4.83209e+01  8.3217e+00 4096  1.000 32.300  1.38 1.405e+02  23.1475 
OBS: 56231.1990 DES-r shallow6  1.68737e+02  1.6355e+01 4096  1.000 30.940  1.59 6.731e+01  21.9730 
OBS: 56231.2070 DES-i shallow6  1.43102e+02  1.5871e+01 4096  1.000 32.160  1.58 2.061e+02  22.0245 
OBS: 56236.1330 DES-g shallow6  2.96778e+01  3.7194e+00 4096  1.000 32.270  2.22 3.638e+01  23.8533 
OBS: 56236.1450 DES-r shallow6  1.25739e+02  9.0438e+00 4096  1.000 30.920  1.96 2.760e+01  22.2671 
OBS: 56236.1600 DES-i shallow6  1.36532e+02  7.2897e+00 4096  1.000 32.170  1.94 7.619e+01  22.1431 
OBS: 56238.1480 DES-g shallow6  2.50261e+01  3.7225e+00    0  1.000 32.030  1.78 3.638e+01  24.0619 
OBS: 56238.1600 DES-r shallow6  8.65546e+01  1.3460e+01 4096  1.000 30.490  2.00 2.760e+01  22.3904 
OBS: 56238.1760 DES-i shallow6  1.23045e+02  1.2470e+01    0  1.000 31.600  1.98 7.619e+01  22.1956 
OBS: 56244.1410 DES-g shallow6  1.75463e+01  2.7549e+00 4096  1.000 32.350  1.77 3.638e+01  24.5310 
OBS: 56244.1520 DES-r shallow6  6.98027e+01  7.5603e+00 4096  1.000 31.000  1.78 2.760e+01  22.7498 
OBS: 56244.1680 DES-i shallow6  1.06715e+02  7.1258e+00 4096  1.000 32.140  1.85 7.619e+01  22.3667 
OBS: 56246.1520 DES-g shallow6  1.70910e+01  2.3790e+00    0  1.000 32.230  1.36 3.638e+01  24.6528 
