SURVEY:   DES
SNID:             87621  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       52.500000  # deg (avg among obs)
DEC:      -27.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0097 +- 0.0015  # MW E(B-V) 
MWXT_MAG:  0.032 0.022 0.016 0.012  # MW mag-XT per band
PEAKMJD:  56243.465     # estimate for LC fit codes
MJD_TRIGGER:       56228.258  
MJD_DETECT_FIRST:  56228.234  
MJD_DETECT_LAST:   56277.238  

REDSHIFT_HELIO:   0.823533 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.822808 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           0    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.82395 
SIM_REDSHIFT_CMB:    0.82323  
SIM_REDSHIFT_HOST:   0.82395 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            43.5632   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              52.500000     # deg  
SIM_DEC:             -27.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0089   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    -0.122     # coh model scatter 
SIM_PEAKMJD:         56244.301    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         4.2041e-06 
SIM_SALT2x1:         0.8882 
SIM_SALT2c:          0.0006 
SIM_SALT2mB:         24.0758 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0300  # spectro-search efficiency 
SIM_TRESTMIN:        -15.43  # days 
SIM_TRESTMAX:        58.58  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  -9.000 24.068 23.412 23.624  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 82 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56216.1910 DES-r deep1  1.05424e+00  1.1508e+00    0  1.000 34.500  1.51 1.352e+02  27.5639 
OBS: 56216.2150 DES-i deep1  3.83156e-01  1.6086e+00    0  1.000 34.760  1.59 2.286e+02  26.1496 
OBS: 56216.2420 DES-z deep1  2.65684e-02  1.8364e+00    0  1.000 35.660  1.57 6.059e+02  26.2434 
OBS: 56221.2110 DES-r deep1  1.04514e+01  2.4261e+00    0  1.000 33.840  1.73 1.352e+02  25.5129 
OBS: 56221.2270 DES-i deep1  9.98077e+00  3.1718e+00    0  1.000 34.200  1.87 2.286e+02  24.8243 
OBS: 56221.2540 DES-z deep1  1.42900e+01  2.9930e+00    0  1.000 35.360  1.94 6.059e+02  24.9588 
OBS: 56222.2700 DES-r deep1  3.31978e+00  3.0852e+00    0  1.000 33.690  1.92 1.352e+02  25.2856 
OBS: 56222.2810 DES-i deep1  3.87558e+00  8.7930e+00    0  1.000 33.340  2.35 2.286e+02  24.6448 
OBS: 56222.3120 DES-z deep1  1.13766e+01  3.0186e+00    0  1.000 35.220  1.72 6.059e+02  24.7843 
OBS: 56228.2340 DES-r deep1  1.59896e+01  2.2610e+00 4096  1.000 34.260  1.40 2.295e+02  24.4804 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56228.2578
OBS: 56228.2580 DES-i deep1  2.91757e+01  4.2254e+00 4096  1.000 34.360  1.60 4.125e+02  23.9586 
OBS: 56228.2850 DES-z deep1  1.79866e+01  3.3458e+00 4096  1.000 35.160  1.48 7.384e+02  24.1359 
OBS: 56229.2230 DES-r deep1  1.60442e+01  4.8304e+00    0  1.000 33.550  1.35 2.650e+02  24.3798 
OBS: 56229.2340 DES-i deep1  2.87651e+01  4.3463e+00 4096  1.000 34.390  1.45 4.814e+02  23.8711 
OBS: 56229.2580 DES-z deep1  2.79720e+01  3.6230e+00 4096  1.000 35.260  1.66 7.815e+02  24.0552 
OBS: 56230.2070 DES-r deep1  1.98352e+01  2.4207e+00 4096  1.000 34.420  1.43 2.789e+02  24.2949 
OBS: 56230.2300 DES-i deep1  3.72205e+01  3.6111e+00 4096  1.000 34.540  1.31 5.078e+02  23.7928 
OBS: 56230.2580 DES-z deep1  2.65243e+01  2.5830e+00 4096  1.000 35.460  1.40 7.940e+02  23.9826 
OBS: 56231.2850 DES-r deep1  1.63685e+01  2.0113e+00 4096  1.000 34.430  1.33 2.513e+02  24.2133 
OBS: 56231.3010 DES-i deep1  2.52458e+01  3.3653e+00 4096  1.000 34.530  1.35 4.552e+02  23.7172 
OBS: 56231.3280 DES-z deep1  2.82358e+01  2.5377e+00 4096  1.000 35.490  1.49 7.533e+02  23.9131 
OBS: 56235.2070 DES-r deep1  2.27069e+01  1.8005e+00 4096  1.000 34.500  1.98 1.606e+02  24.0325 
OBS: 56235.2300 DES-i deep1  4.23385e+01  2.6968e+00 4096  1.000 34.570  1.84 2.769e+02  23.5248 
OBS: 56235.2580 DES-z deep1  2.61179e+01  3.4307e+00 4096  1.000 35.440  2.24 6.474e+02  23.7388 
OBS: 56236.2300 DES-r deep1  2.47371e+01  1.5765e+00 4096  1.000 34.450  1.77 1.498e+02  24.0109 
OBS: 56236.2420 DES-i deep1  4.17114e+01  2.7380e+00 4096  1.000 34.520  1.93 2.559e+02  23.4932 
OBS: 56236.2700 DES-z deep1  3.67170e+01  3.8124e+00 4096  1.000 35.430  2.52 6.335e+02  23.7117 
OBS: 56237.2380 DES-r deep1  2.78095e+01  1.9090e+00 4096  1.000 34.240  1.85 1.431e+02  23.9978 
OBS: 56237.2660 DES-i deep1  2.35737e+01  1.1753e+01    0  1.000 32.900  1.97 2.429e+02  23.4673 
OBS: 56237.2890 DES-z deep1  5.47313e+01  1.4557e+01    0  1.000 33.780  2.14 6.235e+02  23.6898 
OBS: 56238.2380 DES-r deep1  2.54411e+01  1.8567e+00 4096  1.000 34.240  1.85 1.392e+02  23.9932 
OBS: 56238.2660 DES-i deep1  7.95754e+01  1.1419e+01    0  1.000 32.900  1.97 2.356e+02  23.4478 
OBS: 56238.2890 DES-z deep1  3.23349e+01  1.4392e+01    0  1.000 33.780  2.14 6.165e+02  23.6739 
OBS: 56243.2500 DES-r deep1  2.69123e+01  1.1183e+00 4096  1.000 34.460  1.39 1.352e+02  24.0408 
OBS: 56243.2660 DES-i deep1  4.15947e+01  2.2605e+00 4096  1.000 34.520  1.78 2.286e+02  23.4077 
OBS: 56243.2850 DES-z deep1  3.19103e+01  2.9308e+00 4096  1.000 35.520  2.20 6.059e+02  23.6262 
OBS: 56244.2380 DES-r deep1  2.25717e+01  1.1302e+00 4096  1.000 34.390  1.32 1.352e+02  24.0664 
OBS: 56244.2500 DES-i deep1  4.38364e+01  1.7499e+00 4096  1.000 34.580  1.45 2.286e+02  23.4118 
OBS: 56244.2730 DES-z deep1  3.94457e+01  2.7804e+00 4096  1.000 35.430  1.92 6.059e+02  23.6237 
OBS: 56245.2340 DES-r deep1  2.27618e+01  1.3286e+00 4096  1.000 34.320  1.46 1.352e+02  24.0955 
OBS: 56245.2620 DES-i deep1  3.82291e+01  4.6629e+00 4096  1.000 33.390  1.30 2.286e+02  23.4192 
OBS: 56245.2850 DES-z deep1  1.81835e+01  9.9206e+00    0  1.000 33.750  1.46 6.059e+02  23.6239 
OBS: 56246.2460 DES-r deep1  2.35104e+01  2.7079e+00 4096  1.000 33.390  1.27 1.352e+02  24.1279 
OBS: 56246.2620 DES-i deep1  3.81678e+01  4.6984e+00 4096  1.000 33.390  1.31 2.286e+02  23.4291 
OBS: 56246.2850 DES-z deep1  2.75814e+01  9.9900e+00    0  1.000 33.750  1.47 6.059e+02  23.6265 
OBS: 56248.2810 DES-r deep1  2.19743e+01  1.1559e+00 4096  1.000 34.420  1.39 1.352e+02  24.1989 
OBS: 56248.2970 DES-i deep1  4.20254e+01  1.8054e+00 4096  1.000 34.560  1.47 2.286e+02  23.4569 
OBS: 56248.3160 DES-z deep1  3.42037e+01  2.3847e+00 4096  1.000 35.490  1.74 6.059e+02  23.6395 
OBS: 56259.1800 DES-r deep1  1.14047e+01  2.1584e+00 4096  1.000 34.470  1.37 2.720e+02  24.6940 
OBS: 56259.1950 DES-i deep1  3.14934e+01  3.4981e+00 4096  1.000 34.570  1.34 4.945e+02  23.7533 
OBS: 56259.2190 DES-z deep1  3.42505e+01  2.6024e+00 4096  1.000 35.450  1.40 7.923e+02  23.8344 
OBS: 56267.1880 DES-r deep1  9.33464e+00  1.3815e+00    0  1.000 34.400  1.61 1.383e+02  25.1689 
OBS: 56267.1990 DES-i deep1  2.39896e+01  2.0198e+00 4096  1.000 34.480  1.50 2.340e+02  24.1253 
OBS: 56267.2300 DES-z deep1  2.52399e+01  2.3392e+00 4096  1.000 35.370  1.50 6.174e+02  24.0712 
OBS: 56277.1950 DES-r deep1  5.03273e+00  1.0903e+00    0  1.000 34.510  1.44 1.352e+02  25.8475 
OBS: 56277.2150 DES-i deep1  1.07895e+01  1.7119e+00 4096  1.000 34.610  1.47 2.286e+02  24.7273 
OBS: 56277.2380 DES-z deep1  1.49299e+01  1.9096e+00 4096  1.000 35.540  1.46 6.059e+02  24.3956 
OBS: 56287.2340 DES-r deep1  2.96364e+00  2.5730e+00    0  1.000 34.400  1.87 2.230e+02  26.6413 
OBS: 56288.0780 DES-i deep1  9.78736e-01  4.5238e+00    0  1.000 34.990  3.10 4.078e+02  25.3600 
OBS: 56288.1020 DES-z deep1  8.29617e+00  2.9351e+00    0  1.000 35.460  1.70 7.437e+02  24.8439 
OBS: 56289.2580 DES-r deep1 -1.69404e+00  3.1188e+00    0  1.000 34.400  2.21 2.289e+02  26.7782 
OBS: 56292.1090 DES-i deep1  9.23771e+00  3.1518e+00    0  1.000 33.930  1.20 2.760e+02  25.5463 
OBS: 56292.1410 DES-z deep1  1.06717e+01  2.4640e+00    0  1.000 35.230  1.28 6.706e+02  24.9839 
OBS: 56297.0390 DES-r deep1  2.94125e+00  1.1064e+00    0  1.000 34.390  1.31 1.352e+02  27.2274 
OBS: 56303.0510 DES-i deep1  1.50748e+00  1.4007e+00    0  1.000 34.540  1.13 2.286e+02  26.0305 
OBS: 56303.0700 DES-z deep1  1.05854e+01  1.6970e+00    0  1.000 35.390  1.13 6.059e+02  25.3851 
OBS: 56306.1020 DES-r deep1  4.67973e+00  1.5357e+00    0  1.000 34.420  1.87 1.352e+02  27.6726 
OBS: 56311.0550 DES-i deep1  3.69538e+00  2.3885e+00    0  1.000 34.540  1.64 2.686e+02  26.2653 
OBS: 56311.0860 DES-z deep1  9.73131e+00  2.5987e+00    0  1.000 35.440  1.75 6.278e+02  25.6594 
OBS: 56317.0940 DES-r deep1  2.31370e+00  1.9257e+00    0  1.000 34.440  1.70 1.904e+02  27.4963 
OBS: 56319.0940 DES-i deep1  2.17390e+00  2.5654e+00    0  1.000 34.590  1.55 3.198e+02  26.3573 
OBS: 56319.1170 DES-z deep1  3.45991e+00  2.8943e+00    0  1.000 35.490  1.76 7.283e+02  25.8714 
OBS: 56321.1020 DES-r deep1  9.45394e-01  2.6670e+00    0  1.000 33.590  1.33 1.540e+02  27.4674 
OBS: 56327.1050 DES-i deep1  3.37102e-01  2.6265e+00    0  1.000 34.540  2.12 2.286e+02  26.4594 
OBS: 56328.0900 DES-z deep1  1.30477e+00  3.0913e+00    0  1.000 35.400  2.08 6.059e+02  25.9934 
OBS: 56333.0550 DES-r deep1  4.82876e-02  9.6155e-01    0  1.000 34.370  1.12 1.352e+02  27.7629 
OBS: 56335.1130 DES-i deep1  3.49330e+00  2.4956e+00    0  1.000 34.570  2.07 2.286e+02  26.5737 
OBS: 56336.0820 DES-z deep1  3.84204e+00  2.6413e+00    0  1.000 35.420  1.81 6.059e+02  26.0208 
OBS: 56341.0660 DES-r deep1 -8.91381e-01  1.3514e+00    0  1.000 34.430  1.44 1.563e+02  28.1402 
OBS: 56346.0080 DES-i deep1  2.27606e+00  2.5720e+00    0  1.000 34.590  1.75 2.840e+02  26.7349 
OBS: 56346.0550 DES-z deep1  5.92539e+00  2.8942e+00    0  1.000 35.440  1.82 6.725e+02  26.0464 
OBS: 56350.0430 DES-r deep1 -4.54973e-01  1.7811e+00    0  1.000 34.380  1.90 1.491e+02  28.5654 
END_PHOTOMETRY: 

