SURVEY:   DES
SNID:             87862  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       34.500000  # deg (avg among obs)
DEC:      -5.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0227 +- 0.0036  # MW E(B-V) 
MWXT_MAG:  0.094 0.063 0.046 0.035  # MW mag-XT per band
PEAKMJD:  56237.492     # estimate for LC fit codes
MJD_TRIGGER:       56217.191  
MJD_DETECT_FIRST:  56217.172  
MJD_DETECT_LAST:   56327.070  

REDSHIFT_HELIO:   0.296086 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.295019 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           1    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.29580 
SIM_REDSHIFT_CMB:    0.29474  
SIM_REDSHIFT_HOST:   0.29580 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            40.9060   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              34.500000     # deg  
SIM_DEC:             -5.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0258   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    0.081     # coh model scatter 
SIM_PEAKMJD:         56237.746    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         4.4883e-05 
SIM_SALT2x1:         1.4145 
SIM_SALT2c:          0.0506 
SIM_SALT2mB:         21.5048 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.7259  # spectro-search efficiency 
SIM_TRESTMIN:        -15.89  # days 
SIM_TRESTMAX:        69.74  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  21.918 21.534 21.528 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 57 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56217.1720 DES-g deep2  8.46301e+00  1.2984e+00 4096  1.000 32.950  1.12 4.763e+01  25.0301 
OBS: 56217.1910 DES-r deep2  1.86857e+01  9.8288e-01 4096  1.000 34.430  1.19 1.352e+02  24.3581 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56217.1914
OBS: 56219.2300 DES-i deep2  4.29752e+01  1.6518e+00 4096  1.000 34.590  1.38 2.286e+02  23.4101 
OBS: 56221.3240 DES-g deep2  4.36574e+01  1.2529e+01    0  1.000 31.100  1.99 4.763e+01  23.1951 
OBS: 56221.3400 DES-r deep2  9.50017e+01  1.3522e+01    0  1.000 32.160  2.05 1.352e+02  22.7795 
OBS: 56222.0470 DES-i deep2  8.62206e+01  6.5414e+00 4096  1.000 34.100  3.41 2.355e+02  22.7026 
OBS: 56228.0310 DES-g deep2  1.35164e+02  2.6225e+01 4096  1.000 31.510  1.67 1.773e+02  22.1468 
OBS: 56228.0470 DES-r deep2  1.86697e+02  1.1695e+01 4096  1.000 33.030  1.66 3.223e+02  21.8193 
OBS: 56228.3320 DES-i deep2  1.75182e+02  7.0886e+00 4096  1.000 34.570  2.13 6.301e+02  21.8935 
OBS: 56229.0310 DES-g deep2  1.00926e+02  3.0819e+01    0  1.000 31.510  1.65 2.112e+02  22.0646 
OBS: 56229.3050 DES-r deep2  1.97861e+02  4.6756e+00 4096  1.000 34.430  1.95 3.969e+02  21.7253 
OBS: 56229.3200 DES-i deep2  2.00672e+02  7.9709e+00 4096  1.000 34.540  1.94 7.569e+02  21.8163 
OBS: 56230.3160 DES-g deep2  1.55637e+02  8.2784e+00 4096  1.000 32.900  1.56 2.144e+02  21.9849 
OBS: 56230.3280 DES-r deep2  2.14745e+02  4.0016e+00 4096  1.000 34.470  1.76 3.892e+02  21.6666 
OBS: 56230.3440 DES-i deep2  1.81904e+02  7.5353e+00 4096  1.000 34.550  1.90 7.373e+02  21.7498 
OBS: 56235.0200 DES-g deep2  1.82390e+02  3.4823e+00 4096  1.000 32.790  2.48 4.763e+01  21.8855 
OBS: 56235.0270 DES-r deep2  2.39660e+02  3.1245e+00 4096  1.000 34.120  2.81 1.352e+02  21.5494 
OBS: 56235.0390 DES-i deep2  2.36203e+02  5.7192e+00 4096  1.000 34.120  3.11 2.286e+02  21.5760 
OBS: 56236.3240 DES-g deep2  1.83550e+02  4.2794e+00 4096  1.000 32.970  2.59 6.876e+01  21.8933 
OBS: 56237.0230 DES-r deep2  2.35009e+02  2.2119e+00 4096  1.000 34.430  2.61 1.352e+02  21.5353 
OBS: 56237.0390 DES-i deep2  2.40507e+02  3.5299e+00 4096  1.000 34.560  2.86 2.286e+02  21.5376 
OBS: 56238.0230 DES-g deep2  1.68214e+02  3.0002e+00 4096  1.000 32.940  2.44 4.763e+01  21.9242 
OBS: 56243.0270 DES-r deep2  2.30053e+02  2.4231e+00 4096  1.000 34.440  2.91 1.352e+02  21.5880 
OBS: 56243.0390 DES-i deep2  2.42378e+02  3.4509e+00 4096  1.000 34.570  2.82 2.286e+02  21.5511 
OBS: 56244.0270 DES-g deep2  1.40371e+02  3.2863e+00 4096  1.000 32.940  2.73 4.763e+01  22.1434 
OBS: 56245.0270 DES-r deep2  2.24137e+02  1.4670e+00 4096  1.000 34.500  1.76 1.352e+02  21.6335 
OBS: 56245.0430 DES-i deep2  2.31379e+02  2.1237e+00 4096  1.000 34.610  1.76 2.286e+02  21.5998 
OBS: 56246.0270 DES-g deep2  1.28042e+02  1.9919e+00 4096  1.000 33.010  1.65 4.763e+01  22.2397 
