SURVEY:   DES
SNID:             89278  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       36.750000  # deg (avg among obs)
DEC:      -4.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0283 +- 0.0045  # MW E(B-V) 
MWXT_MAG:  0.131 0.087 0.064 0.049  # MW mag-XT per band
PEAKMJD:  56172.941     # estimate for LC fit codes
MJD_TRIGGER:       56179.312  
MJD_DETECT_FIRST:  56179.172  
MJD_DETECT_LAST:   56246.180  

REDSHIFT_HELIO:   0.169121 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.168196 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           7    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.16930 
SIM_REDSHIFT_CMB:    0.16838  
SIM_REDSHIFT_HOST:   0.16930 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            39.5392   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              36.750000     # deg  
SIM_DEC:             -4.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0359   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    0.036     # coh model scatter 
SIM_PEAKMJD:         56172.398    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         1.5777e-04 
SIM_SALT2x1:         -2.0722 
SIM_SALT2c:          -0.1014 
SIM_SALT2mB:         20.1399 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.9525  # spectro-search efficiency 
SIM_TRESTMIN:        5.79  # days 
SIM_TRESTMAX:        63.16  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  20.354 20.476 20.675 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 36 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56179.1720 DES-g shallow6  5.02601e+02  3.9414e+00 4096  1.000 32.420  2.21 3.638e+01  20.7297 
OBS: 56179.3120 DES-r shallow6  5.78943e+02  1.6686e+01 4096  1.000 30.750  2.81 3.001e+01  20.5959 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56179.3125
OBS: 56179.3280 DES-i shallow6  4.42485e+02  1.3186e+01 4096  1.000 32.050  2.85 8.396e+01  20.8893 
OBS: 56188.1480 DES-g shallow6  1.79294e+02  1.4248e+01 4096  1.000 31.230  3.26 3.638e+01  21.8299 
OBS: 56188.1600 DES-r shallow6  3.37480e+02  2.1933e+01 4096  1.000 30.230  2.53 2.760e+01  21.1332 
OBS: 56188.2110 DES-i shallow6  2.83016e+02  1.3531e+01 4096  1.000 31.580  2.09 7.619e+01  21.3359 
OBS: 56200.1800 DES-g shallow6  5.05791e+01  1.5906e+01    0  1.000 32.420  2.76 1.505e+02  23.1368 
OBS: 56200.1880 DES-r shallow6  1.78721e+02  2.4575e+01 4096  1.000 31.040  2.57 6.918e+01  21.8003 
OBS: 56200.1950 DES-i shallow6  2.57054e+02  2.3703e+01 4096  1.000 32.400  2.88 2.110e+02  21.5415 
OBS: 56210.2030 DES-g shallow6  3.70183e+01  3.7678e+00 4096  1.000 32.420  2.58 3.638e+01  23.6010 
OBS: 56210.2110 DES-r shallow6  1.08793e+02  1.0811e+01 4096  1.000 31.190  3.06 2.760e+01  22.5712 
OBS: 56210.2190 DES-i shallow6  1.32610e+02  9.2893e+00 4096  1.000 32.170  2.49 7.619e+01  22.4118 
OBS: 56220.1880 DES-g shallow6  2.63443e+01  1.9617e+00 4096  1.000 32.370  1.25 3.638e+01  23.7397 
OBS: 56220.1950 DES-r shallow6  7.32473e+01  5.6678e+00 4096  1.000 31.020  1.33 2.760e+01  22.7713 
OBS: 56220.2030 DES-i shallow6  7.01041e+01  5.3302e+00 4096  1.000 32.200  1.46 7.619e+01  22.8766 
OBS: 56222.2030 DES-g shallow6  2.27998e+01  4.9306e+00 4096  1.000 32.140  2.20 4.396e+01  23.7804 
OBS: 56222.2110 DES-r shallow6  7.90800e+01  1.3701e+01 4096  1.000 30.390  1.81 2.842e+01  22.7931 
OBS: 56222.2270 DES-i shallow6  7.41727e+01  1.0200e+01 4096  1.000 31.810  1.97 7.619e+01  22.9397 
OBS: 56229.1450 DES-g shallow6  3.19976e+01  9.6231e+00    0  1.000 32.280  1.36 1.623e+02  23.9763 
OBS: 56229.1560 DES-r shallow6  7.35184e+01  1.7939e+01    0  1.000 30.780  1.28 8.002e+01  22.9584 
OBS: 56229.1720 DES-i shallow6  8.06266e+01  2.1407e+01    0  1.000 31.850  1.33 2.489e+02  23.1624 
OBS: 56231.1910 DES-g shallow6  2.77649e+01  8.3068e+00    0  1.000 32.300  1.38 1.405e+02  24.0427 
OBS: 56231.1990 DES-r shallow6  3.97730e+01  1.6189e+01    0  1.000 30.940  1.59 6.731e+01  23.0224 
OBS: 56231.2070 DES-i shallow6  2.66002e+01  1.5821e+01    0  1.000 32.160  1.58 2.061e+02  23.2255 
OBS: 56236.1330 DES-g shallow6  1.88747e+01  3.7014e+00 4096  1.000 32.270  2.22 3.638e+01  24.2085 
OBS: 56236.1450 DES-r shallow6  5.83242e+01  8.8827e+00 4096  1.000 30.920  1.96 2.760e+01  23.1796 
OBS: 56236.1600 DES-i shallow6  4.26681e+01  7.2019e+00 4096  1.000 32.170  1.94 7.619e+01  23.3881 
OBS: 56238.1480 DES-g shallow6  2.10175e+01  3.7142e+00    0  1.000 32.030  1.78 3.638e+01  24.2761 
