SURVEY:   DES
SNID:             90099  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       48.000000  # deg (avg among obs)
DEC:      0.000000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0713 +- 0.0114  # MW E(B-V) 
MWXT_MAG:  0.249 0.166 0.122 0.093  # MW mag-XT per band
PEAKMJD:  56212.746     # estimate for LC fit codes
MJD_TRIGGER:       56214.164  
MJD_DETECT_FIRST:  56207.156  
MJD_DETECT_LAST:   56258.152  

REDSHIFT_HELIO:   0.395737 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.394885 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           8    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.39583 
SIM_REDSHIFT_CMB:    0.39498  
SIM_REDSHIFT_HOST:   0.39583 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            41.6443   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              48.000000     # deg  
SIM_DEC:             0.000000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0683   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    0.186     # coh model scatter 
SIM_PEAKMJD:         56213.738    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         2.7270e-05 
SIM_SALT2x1:         1.6170 
SIM_SALT2c:          -0.0022 
SIM_SALT2mB:         22.0458 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.3509  # spectro-search efficiency 
SIM_TRESTMIN:        -17.59  # days 
SIM_TRESTMAX:        67.65  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  23.022 22.245 22.218 22.503  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 66 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56189.1950 DES-r shallow7 -3.00000e+01  5.9289e+01    0  1.000 29.110  2.51 2.760e+01  26.2000 
OBS: 56189.2030 DES-i shallow7  2.45375e+00  1.3887e+01    0  1.000 31.960  3.10 7.619e+01  26.2293 
OBS: 56189.2110 DES-z shallow7 -5.55298e+00  1.6916e+01    0  1.000 32.600  2.44 2.142e+02  26.0483 
OBS: 56200.2190 DES-g shallow7  4.15958e+01  1.2733e+01    0  1.000 32.370  2.31 1.374e+02  23.4357 
OBS: 56202.2230 DES-r shallow7  9.93878e+01  1.3525e+01    0  1.000 31.070  1.52 6.581e+01  22.6206 
OBS: 56202.2380 DES-i shallow7  9.58998e+01  1.4220e+01    0  1.000 32.280  1.61 2.026e+02  22.6613 
OBS: 56207.1560 DES-z shallow7  7.96150e+01  1.0715e+01 4096  1.000 33.300  2.94 2.142e+02  22.5570 
OBS: 56214.1640 DES-g shallow7  6.15330e+01  2.5519e+00 4096  1.000 32.370  1.60 3.638e+01  23.0387 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56214.1641
OBS: 56215.2380 DES-r shallow7  1.24887e+02  6.1898e+00 4096  1.000 31.040  1.45 2.760e+01  22.2567 
OBS: 56216.1640 DES-i shallow7  1.25310e+02  5.7111e+00 4096  1.000 32.260  1.64 7.619e+01  22.2228 
OBS: 56217.1520 DES-z shallow7  9.38357e+01  5.3719e+00 4096  1.000 33.220  1.36 2.142e+02  22.4740 
OBS: 56221.1130 DES-g shallow7  5.02982e+01  4.6192e+00 4096  1.000 32.210  2.43 3.916e+01  23.3645 
OBS: 56221.1950 DES-r shallow7  6.35705e+01  4.7394e+01    0  1.000 29.110  2.00 2.760e+01  22.3904 
OBS: 56221.3120 DES-i shallow7  1.15837e+02  8.5550e+00 4096  1.000 31.940  1.85 7.619e+01  22.2614 
OBS: 56222.1050 DES-z shallow7  9.65735e+01  1.8071e+01    0  1.000 32.820  3.14 2.175e+02  22.5471 
OBS: 56228.1990 DES-g shallow7  2.67327e+01  6.9389e+00    0  1.000 32.330  1.32 1.260e+02  23.8101 
OBS: 56228.2150 DES-r shallow7  7.86700e+01  1.5573e+01    0  1.000 30.880  1.65 5.860e+01  22.6731 
OBS: 56228.2230 DES-i shallow7  1.14860e+02  2.9204e+01    0  1.000 31.290  1.52 1.772e+02  22.4526 
OBS: 56229.1990 DES-z shallow7  8.76641e+01  8.4848e+00 4096  1.000 33.170  1.50 2.946e+02  22.8906 
OBS: 56230.1560 DES-g shallow7  3.45023e+01  9.8525e+00    0  1.000 32.290  1.33 1.716e+02  23.9607 
OBS: 56230.1720 DES-r shallow7  6.52326e+01  1.8895e+01    0  1.000 30.930  1.46 8.506e+01  22.7779 
OBS: 56230.1880 DES-i shallow7  1.03059e+02  2.2937e+01    0  1.000 32.110  1.70 2.652e+02  22.5376 
OBS: 56231.2300 DES-z shallow7  5.26669e+01  8.0776e+00 4096  1.000 33.180  1.48 2.872e+02  22.9970 
OBS: 56235.1600 DES-g shallow7  1.70613e+01  5.3430e+00    0  1.000 32.350  1.86 6.962e+01  24.4095 
OBS: 56235.1720 DES-r shallow7  5.90781e+01  1.1758e+01    0  1.000 30.940  2.14 3.511e+01  23.0860 
OBS: 56235.1880 DES-i shallow7  7.63368e+01  1.0343e+01 4096  1.000 32.190  2.17 1.001e+02  22.7797 
OBS: 56236.1880 DES-z shallow7  5.68043e+01  9.3689e+00 4096  1.000 33.210  2.25 2.253e+02  23.1369 
OBS: 56237.1990 DES-g shallow7  1.79460e+01  4.9674e+00    0  1.000 32.120  1.94 4.964e+01  24.5949 
OBS: 56237.2070 DES-r shallow7  6.61530e+01  9.9041e+00 4096  1.000 30.860  1.95 2.950e+01  23.2001 
OBS: 56237.2150 DES-i shallow7  9.62313e+01  1.2708e+01    0  1.000 31.610  1.90 8.195e+01  22.8492 
OBS: 56238.1990 DES-z shallow7  6.27495e+01  1.0916e+01 4096  1.000 32.970  2.21 2.142e+02  23.1122 
OBS: 56243.1950 DES-g shallow7  1.21285e+01  2.2578e+00    0  1.000 32.320  1.41 3.638e+01  25.1372 
OBS: 56243.2030 DES-r shallow7  3.96758e+01  6.7669e+00 4096  1.000 30.990  1.59 2.760e+01  23.5893 
OBS: 56243.2110 DES-i shallow7  5.73715e+01  5.8480e+00 4096  1.000 32.080  1.44 7.619e+01  23.0083 
