SURVEY:   DES
SNID:             91012  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       34.500000  # deg (avg among obs)
DEC:      -5.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0227 +- 0.0036  # MW E(B-V) 
MWXT_MAG:  0.087 0.058 0.042 0.032  # MW mag-XT per band
PEAKMJD:  56169.188     # estimate for LC fit codes
MJD_TRIGGER:       56177.188  
MJD_DETECT_FIRST:  56177.172  
MJD_DETECT_LAST:   56214.180  

REDSHIFT_HELIO:   0.782120 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.780653 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           1    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.78203 
SIM_REDSHIFT_CMB:    0.78056  
SIM_REDSHIFT_HOST:   0.78203 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            43.4227   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              34.500000     # deg  
SIM_DEC:             -5.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0238   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    -0.154     # coh model scatter 
SIM_PEAKMJD:         56170.672    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         4.5226e-06 
SIM_SALT2x1:         0.7378 
SIM_SALT2c:          0.0132 
SIM_SALT2mB:         23.9965 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0300  # spectro-search efficiency 
SIM_TRESTMIN:        3.09  # days 
SIM_TRESTMAX:        66.54  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  -9.000 23.978 23.431 23.500  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 59 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56177.1720 DES-r deep2  1.80178e+01  3.6116e+00 4096  1.000 34.390  4.28 1.352e+02  24.1884 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56177.1875
OBS: 56177.1880 DES-i deep2  4.11549e+01  8.7737e+00 4096  1.000 34.530  4.99 3.214e+02  23.5362 
OBS: 56177.2110 DES-z deep2  3.84404e+01  4.7962e+00 4096  1.000 35.660  3.85 6.450e+02  23.5359 
OBS: 56180.3280 DES-r deep2  1.99583e+01  2.5471e+00 4096  1.000 34.320  2.73 1.399e+02  24.3199 
OBS: 56180.3440 DES-i deep2  4.04732e+01  3.5579e+00 4096  1.000 34.430  2.49 2.376e+02  23.6235 
OBS: 56185.1520 DES-z deep2  3.41501e+01  2.2065e+00 4096  1.000 35.470  1.58 6.059e+02  23.6964 
OBS: 56189.1600 DES-r deep2  1.49020e+01  3.8928e+00    0  1.000 33.690  2.42 1.352e+02  24.7518 
OBS: 56189.1760 DES-i deep2  1.69542e+01  8.0820e+00    0  1.000 33.380  2.24 2.286e+02  23.9754 
OBS: 56189.2270 DES-z deep2  3.58662e+01  4.2549e+00 4096  1.000 35.090  2.15 6.059e+02  23.8095 
OBS: 56194.1290 DES-r deep2  1.08556e+01  2.3601e+00    0  1.000 34.150  2.16 1.402e+02  25.0764 
OBS: 56200.2340 DES-i deep2  2.38150e+01  7.6822e+00    0  1.000 34.620  2.34 6.524e+02  24.6095 
OBS: 56201.1560 DES-z deep2  1.92362e+01  4.5579e+00    0  1.000 35.560  2.64 8.155e+02  24.2126 
OBS: 56208.1760 DES-r deep2  6.00397e+00  1.2566e+00    0  1.000 34.470  1.60 1.352e+02  26.1195 
OBS: 56210.1560 DES-i deep2  1.02268e+01  3.5277e+00    0  1.000 34.590  2.98 2.286e+02  25.1977 
OBS: 56214.1800 DES-z deep2  1.47523e+01  2.0792e+00 4096  1.000 35.540  1.59 6.059e+02  24.6351 
OBS: 56217.1910 DES-r deep2  2.62858e+00  9.6897e-01    0  1.000 34.430  1.19 1.352e+02  26.6731 
OBS: 56219.2300 DES-i deep2  4.93902e+00  1.6349e+00    0  1.000 34.590  1.38 2.286e+02  25.6322 
OBS: 56221.0470 DES-z deep2  1.30065e+01  7.7846e+00    0  1.000 35.000  3.59 6.115e+02  24.8430 
OBS: 56221.3400 DES-r deep2 -7.48037e+00  1.3474e+01    0  1.000 32.160  2.05 1.352e+02  26.8982 
OBS: 56222.0470 DES-i deep2  1.21181e+01  6.5284e+00    0  1.000 34.100  3.41 2.355e+02  25.7519 
OBS: 56228.0470 DES-r deep2  1.22630e+01  1.1649e+01    0  1.000 33.030  1.66 3.223e+02  27.3060 
OBS: 56228.0590 DES-z deep2  7.80857e+00  4.4894e+00    0  1.000 35.240  2.02 7.819e+02  25.0965 
OBS: 56228.3320 DES-i deep2  6.13267e+00  7.0709e+00    0  1.000 34.570  2.13 6.301e+02  26.0128 
OBS: 56229.3050 DES-r deep2 -3.62873e+00  4.6397e+00    0  1.000 34.430  1.95 3.969e+02  27.3670 
OBS: 56229.3200 DES-i deep2 -1.64625e+01  7.9517e+00    0  1.000 34.540  1.94 7.569e+02  26.0489 
OBS: 56229.3480 DES-z deep2  1.13499e+01  4.5790e+00    0  1.000 35.520  2.45 8.509e+02  25.1434 
OBS: 56230.3280 DES-r deep2  9.72353e-01  3.9578e+00    0  1.000 34.470  1.76 3.892e+02  27.4088 
OBS: 56230.3440 DES-i deep2  1.25237e+01  7.5182e+00    0  1.000 34.550  1.90 7.373e+02  26.0844 
