SURVEY:   DES
SNID:             92374  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       52.500000  # deg (avg among obs)
DEC:      -33.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0120 +- 0.0019  # MW E(B-V) 
MWXT_MAG:  0.046 0.031 0.023 0.017  # MW mag-XT per band
PEAKMJD:  56275.055     # estimate for LC fit codes
MJD_TRIGGER:       56260.172  
MJD_DETECT_FIRST:  56260.160  
MJD_DETECT_LAST:   56321.043  

REDSHIFT_HELIO:   0.510752 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.510213 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           3    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.51108 
SIM_REDSHIFT_CMB:    0.51054  
SIM_REDSHIFT_HOST:   0.51108 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            42.3049   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              52.500000     # deg  
SIM_DEC:             -33.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0127   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    0.152     # coh model scatter 
SIM_PEAKMJD:         56275.398    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         1.8294e-05 
SIM_SALT2x1:         0.7573 
SIM_SALT2c:          -0.1108 
SIM_SALT2mB:         22.4792 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.1838  # spectro-search efficiency 
SIM_TRESTMIN:        -18.00  # days 
SIM_TRESTMAX:        50.05  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  23.339 22.413 22.591 22.609  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 47 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56248.2070 DES-i shallow2 -4.31545e+00  5.6329e+00    0  1.000 32.180  1.54 7.619e+01  27.3003 
OBS: 56248.2150 DES-z shallow2  5.08954e-01  6.2583e+00    0  1.000 33.180  1.54 2.142e+02  27.3038 
OBS: 56258.3320 DES-g shallow2  2.00615e+01  7.3197e+00    0  1.000 32.320  1.55 1.122e+02  24.3761 
OBS: 56259.1600 DES-r shallow2  3.41710e+01  9.3330e+00    0  1.000 30.980  1.23 5.140e+01  23.3132 
OBS: 56260.1600 DES-i shallow2  4.17499e+01  8.7649e+00 4096  1.000 32.170  1.28 1.417e+02  23.3817 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56260.1719
OBS: 56260.1720 DES-z shallow2  4.00638e+01  7.1937e+00 4096  1.000 33.270  1.52 2.706e+02  23.4773 
OBS: 56261.2420 DES-g shallow2  2.34977e+01  4.3561e+00 4096  1.000 32.460  1.19 9.838e+01  23.8524 
OBS: 56268.1560 DES-r shallow2  9.30441e+01  6.8707e+00 4096  1.000 30.910  1.46 2.760e+01  22.5014 
OBS: 56268.1720 DES-i shallow2  7.17515e+01  7.0179e+00 4096  1.000 32.110  1.78 7.619e+01  22.7251 
OBS: 56268.1800 DES-z shallow2  7.66136e+01  7.5198e+00 4096  1.000 33.160  1.81 2.142e+02  22.7838 
OBS: 56274.1950 DES-g shallow2  4.68334e+01  2.4431e+00 4096  1.000 32.310  1.46 3.638e+01  23.2810 
OBS: 56278.1800 DES-r shallow2  1.03062e+02  5.0676e+00 4096  1.000 30.990  1.11 2.760e+01  22.4532 
OBS: 56278.1950 DES-i shallow2  9.11652e+01  5.2208e+00 4096  1.000 32.250  1.49 7.619e+01  22.5935 
OBS: 56278.2070 DES-z shallow2  9.12930e+01  6.0954e+00 4096  1.000 33.250  1.59 2.142e+02  22.6027 
OBS: 56283.2030 DES-g shallow2  2.80375e+01  3.3842e+00 4096  1.000 32.340  1.26 6.367e+01  23.8756 
OBS: 56288.1680 DES-r shallow2  7.95509e+01  1.0956e+01 4096  1.000 30.970  1.65 4.402e+01  22.7982 
OBS: 56288.1760 DES-i shallow2  5.56177e+01  1.1227e+01 4096  1.000 32.180  1.84 1.274e+02  22.8038 
OBS: 56288.1840 DES-z shallow2  7.32663e+01  9.1572e+00 4096  1.000 33.220  1.92 2.604e+02  22.8475 
OBS: 56289.1910 DES-g shallow2  2.04144e+01  6.8693e+00    0  1.000 32.390  1.58 1.101e+02  24.3888 
OBS: 56292.2300 DES-r shallow2  6.20638e+01  7.0199e+00 4096  1.000 31.030  1.47 3.242e+01  23.0185 
OBS: 56292.2420 DES-i shallow2  7.67641e+01  6.5851e+00 4096  1.000 32.280  1.65 9.038e+01  22.9517 
OBS: 56292.2580 DES-z shallow2  6.97028e+01  8.0469e+00 4096  1.000 33.260  1.93 2.360e+02  23.0263 
OBS: 56298.0390 DES-g shallow2  9.32759e+00  2.3396e+00    0  1.000 32.300  1.44 3.638e+01  25.1745 
OBS: 56304.0860 DES-r shallow2  3.76162e+01  5.7155e+00 4096  1.000 30.970  1.31 2.760e+01  23.8783 
OBS: 56304.0940 DES-i shallow2  3.27416e+01  4.9914e+00 4096  1.000 32.170  1.34 7.619e+01  23.4150 
OBS: 56304.1020 DES-z shallow2  5.70850e+01  5.7312e+00 4096  1.000 33.200  1.43 2.142e+02  23.3610 
OBS: 56308.0430 DES-g shallow2  2.93790e+00  1.7218e+00    0  1.000 32.410  1.09 3.955e+01  26.0419 
OBS: 56312.1130 DES-r shallow2  1.25758e+01  8.0193e+00    0  1.000 30.970  1.61 3.270e+01  24.4332 
