SURVEY:   DES
SNID:             93502  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       34.500000  # deg (avg among obs)
DEC:      -5.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0227 +- 0.0036  # MW E(B-V) 
MWXT_MAG:  0.067 0.044 0.033 0.025  # MW mag-XT per band
PEAKMJD:  56178.512     # estimate for LC fit codes
MJD_TRIGGER:       56177.172  
MJD_DETECT_FIRST:  56176.176  
MJD_DETECT_LAST:   56261.125  

REDSHIFT_HELIO:   0.217743 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.216741 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           1    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.21783 
SIM_REDSHIFT_CMB:    0.21683  
SIM_REDSHIFT_HOST:   0.21783 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            40.1494   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              34.500000     # deg  
SIM_DEC:             -5.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0183   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    -0.120     # coh model scatter 
SIM_PEAKMJD:         56178.184    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         1.0657e-04 
SIM_SALT2x1:         0.3749 
SIM_SALT2c:          -0.0519 
SIM_SALT2mB:         20.5660 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.9442  # spectro-search efficiency 
SIM_TRESTMIN:        -1.65  # days 
SIM_TRESTMAX:        68.19  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  20.607 20.551 20.758 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 51 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56176.1760 DES-g deep2  5.90399e+02  5.2594e+00 4096  1.000 32.980  2.00 1.068e+02  20.5874 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56177.1719
OBS: 56177.1720 DES-r deep2  5.99883e+02  3.7503e+00 4096  1.000 34.390  4.28 1.352e+02  20.5615 
OBS: 56177.1880 DES-i deep2  4.94525e+02  8.8134e+00 4096  1.000 34.530  4.99 3.214e+02  20.7707 
OBS: 56180.1720 DES-g deep2  5.51651e+02  2.9207e+00 4096  1.000 33.010  2.09 4.763e+01  20.6611 
OBS: 56180.3280 DES-r deep2  5.97031e+02  2.7508e+00 4096  1.000 34.320  2.73 1.399e+02  20.5528 
OBS: 56180.3440 DES-i deep2  5.07290e+02  3.6671e+00 4096  1.000 34.430  2.49 2.376e+02  20.7491 
OBS: 56189.1480 DES-g deep2  3.35876e+02  1.0283e+01 4096  1.000 31.820  3.09 4.763e+01  21.1988 
OBS: 56189.1600 DES-r deep2  4.60836e+02  4.0798e+00 4096  1.000 33.690  2.42 1.352e+02  20.8159 
OBS: 56189.1760 DES-i deep2  3.60927e+02  8.1761e+00 4096  1.000 33.380  2.24 2.286e+02  21.0500 
OBS: 56194.1210 DES-g deep2  2.04485e+02  4.0429e+00 4096  1.000 32.670  2.03 6.128e+01  21.6685 
OBS: 56194.1290 DES-r deep2  3.63272e+02  2.5181e+00 4096  1.000 34.150  2.16 1.402e+02  21.0787 
OBS: 56200.2340 DES-i deep2  2.55288e+02  7.7035e+00 4096  1.000 34.620  2.34 6.524e+02  21.4298 
OBS: 56208.1600 DES-g deep2  6.12457e+01  1.6435e+00 4096  1.000 33.030  1.44 4.763e+01  23.0138 
OBS: 56208.1760 DES-r deep2  2.06094e+02  1.3803e+00 4096  1.000 34.470  1.60 1.352e+02  21.7018 
OBS: 56210.1560 DES-i deep2  2.35819e+02  3.5741e+00 4096  1.000 34.590  2.98 2.286e+02  21.5893 
OBS: 56217.1720 DES-g deep2  4.06719e+01  1.3779e+00 4096  1.000 32.950  1.12 4.763e+01  23.5503 
OBS: 56217.1910 DES-r deep2  1.41778e+02  1.0836e+00 4096  1.000 34.430  1.19 1.352e+02  22.1167 
OBS: 56219.2300 DES-i deep2  1.60597e+02  1.7029e+00 4096  1.000 34.590  1.38 2.286e+02  21.9927 
OBS: 56221.3240 DES-g deep2  4.34337e+01  1.2528e+01    0  1.000 31.100  1.99 4.763e+01  23.7211 
OBS: 56221.3400 DES-r deep2  1.21112e+02  1.3535e+01 4096  1.000 32.160  2.05 1.352e+02  22.3148 
OBS: 56222.0470 DES-i deep2  1.46705e+02  6.5520e+00 4096  1.000 34.100  3.41 2.355e+02  22.1329 
OBS: 56228.0310 DES-g deep2  4.51592e+01  2.6182e+01    0  1.000 31.510  1.67 1.773e+02  23.8906 
OBS: 56228.0470 DES-r deep2  8.79047e+01  1.1669e+01 4096  1.000 33.030  1.66 3.223e+02  22.5854 
OBS: 56228.3320 DES-i deep2  1.09326e+02  7.0817e+00 4096  1.000 34.570  2.13 6.301e+02  22.4094 
OBS: 56229.0310 DES-g deep2  6.44686e+00  3.0781e+01    0  1.000 31.510  1.65 2.112e+02  23.9128 
OBS: 56229.3050 DES-r deep2  9.18198e+01  4.6564e+00 4096  1.000 34.430  1.95 3.969e+02  22.6262 
OBS: 56229.3200 DES-i deep2  9.04915e+01  7.9604e+00 4096  1.000 34.540  1.94 7.569e+02  22.4482 
OBS: 56230.3160 DES-g deep2  3.42882e+01  8.2275e+00    0  1.000 32.900  1.56 2.144e+02  23.9414 
OBS: 56230.3280 DES-r deep2  9.09792e+01  3.9763e+00 4096  1.000 34.470  1.76 3.892e+02  22.6566 
OBS: 56230.3440 DES-i deep2  1.00525e+02  7.5271e+00 4096  1.000 34.550  1.90 7.373e+02  22.4869 
OBS: 56235.0200 DES-g deep2  2.08826e+01  3.3000e+00 4096  1.000 32.790  2.48 4.763e+01  24.0447 
OBS: 56235.0270 DES-r deep2  7.01757e+01  3.0628e+00 4096  1.000 34.120  2.81 1.352e+02  22.7659 
OBS: 56235.0390 DES-i deep2  1.00925e+02  5.6926e+00 4096  1.000 34.120  3.11 2.286e+02  22.6432 
OBS: 56236.3240 DES-g deep2  1.69469e+01  4.1512e+00 4096  1.000 32.970  2.59 6.876e+01  24.0721 
OBS: 56237.0230 DES-r deep2  7.81906e+01  2.1511e+00 4096  1.000 34.430  2.61 1.352e+02  22.7982 
OBS: 56237.0390 DES-i deep2  8.80471e+01  3.4974e+00 4096  1.000 34.560  2.86 2.286e+02  22.6985 
OBS: 56238.0230 DES-g deep2  2.32312e+01  2.8345e+00 4096  1.000 32.940  2.44 4.763e+01  24.1065 
OBS: 56243.0270 DES-r deep2  7.14454e+01  2.3676e+00 4096  1.000 34.440  2.91 1.352e+02  22.8803 
OBS: 56243.0390 DES-i deep2  7.54992e+01  3.4148e+00 4096  1.000 34.570  2.82 2.286e+02  22.8532 
OBS: 56244.0270 DES-g deep2  2.31280e+01  3.1651e+00 4096  1.000 32.940  2.73 4.763e+01  24.2301 
OBS: 56245.0270 DES-r deep2  6.86147e+01  1.3804e+00 4096  1.000 34.500  1.76 1.352e+02  22.9089 
OBS: 56245.0430 DES-i deep2  6.79476e+01  2.0679e+00 4096  1.000 34.610  1.76 2.286e+02  22.9066 
OBS: 56246.0270 DES-g deep2  2.04950e+01  1.8153e+00 4096  1.000 33.010  1.65 4.763e+01  24.2718 
OBS: 56247.2070 DES-r deep2  6.65259e+01  1.3495e+00 4096  1.000 34.450  1.64 1.352e+02  22.9400 
OBS: 56247.2230 DES-i deep2  6.72127e+01  2.1058e+00 4096  1.000 34.540  1.68 2.286e+02  22.9647 
OBS: 56254.1600 DES-g deep2  1.25904e+01  3.4261e+00    0  1.000 32.940  1.39 1.034e+02  24.4413 
OBS: 56258.1910 DES-r deep2  6.27827e+01  3.2441e+00    0  1.000 34.470  1.69 3.306e+02  23.0969 
OBS: 56258.2150 DES-i deep2  5.43232e+01  5.8179e+00 4096  1.000 34.590  1.81 6.208e+02  23.2576 
OBS: 56261.0430 DES-g deep2  1.82081e+01  4.4729e+00    0  1.000 32.940  1.34 1.404e+02  24.5848 
OBS: 56261.1090 DES-r deep2  5.54062e+01  2.8852e+00 4096  1.000 33.810  1.20 2.242e+02  23.1386 
OBS: 56261.1250 DES-i deep2  4.99600e+01  4.1854e+00 4096  1.000 34.120  1.31 3.993e+02  23.3351 
END_PHOTOMETRY: 

