SURVEY:   DES
SNID:             94289  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       48.000000  # deg (avg among obs)
DEC:      0.000000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0713 +- 0.0114  # MW E(B-V) 
MWXT_MAG:  0.296 0.197 0.144 0.110  # MW mag-XT per band
PEAKMJD:  56247.379     # estimate for LC fit codes
MJD_TRIGGER:       56243.195  
MJD_DETECT_FIRST:  56235.188  
MJD_DETECT_LAST:   56277.180  

REDSHIFT_HELIO:   0.411589 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.410727 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           8    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.41166 
SIM_REDSHIFT_CMB:    0.41080  
SIM_REDSHIFT_HOST:   0.41166 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            41.7447   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              48.000000     # deg  
SIM_DEC:             0.000000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0812   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    0.228     # coh model scatter 
SIM_PEAKMJD:         56247.094    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         1.6911e-05 
SIM_SALT2x1:         -2.3836 
SIM_SALT2c:          -0.0465 
SIM_SALT2mB:         22.5646 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.1089  # spectro-search efficiency 
SIM_TRESTMIN:        -17.71  # days 
SIM_TRESTMAX:        66.60  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  23.978 22.843 22.855 23.003  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 64 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56222.1050 DES-z shallow7  1.49912e+01  1.8055e+01    0  1.000 32.820  3.14 2.175e+02 99 
OBS: 56228.1990 DES-g shallow7 -7.71135e+00  6.9164e+00    0  1.000 32.330  1.32 1.260e+02 99 
OBS: 56228.2150 DES-r shallow7 -1.89202e+01  1.5460e+01    0  1.000 30.880  1.65 5.860e+01 99 
OBS: 56228.2230 DES-i shallow7  1.54479e+01  2.9152e+01    0  1.000 31.290  1.52 1.772e+02  26.7507 
OBS: 56229.1990 DES-z shallow7  1.88888e+01  8.4629e+00    0  1.000 33.170  1.50 2.946e+02  25.4754 
OBS: 56230.1560 DES-g shallow7  1.55899e+00  9.8322e+00    0  1.000 32.290  1.33 1.716e+02 99 
OBS: 56230.1720 DES-r shallow7  1.98175e+00  1.8824e+01    0  1.000 30.930  1.46 8.506e+01  25.9104 
OBS: 56230.1880 DES-i shallow7  1.91858e+01  2.2911e+01    0  1.000 32.110  1.70 2.652e+02  25.5549 
OBS: 56231.2300 DES-z shallow7  2.07824e+01  8.0671e+00    0  1.000 33.180  1.48 2.872e+02  24.7134 
OBS: 56235.1600 DES-g shallow7  6.83178e+00  5.3320e+00    0  1.000 32.350  1.86 6.962e+01  25.1057 
OBS: 56235.1720 DES-r shallow7  2.59640e+01  1.1698e+01    0  1.000 30.940  2.14 3.511e+01  23.9044 
OBS: 56235.1880 DES-i shallow7  3.67468e+01  1.0317e+01 4096  1.000 32.190  2.17 1.001e+02  23.9318 
OBS: 56236.1880 DES-z shallow7  3.17998e+01  9.3620e+00    0  1.000 33.210  2.25 2.253e+02  23.5917 
OBS: 56237.1990 DES-g shallow7  1.29873e+01  4.9603e+00    0  1.000 32.120  1.94 4.964e+01  24.4940 
OBS: 56237.2070 DES-r shallow7  3.60582e+01  9.8351e+00    0  1.000 30.860  1.95 2.950e+01  23.4888 
OBS: 56237.2150 DES-i shallow7  2.76285e+01  1.2646e+01    0  1.000 31.610  1.90 8.195e+01  23.5409 
OBS: 56238.1990 DES-z shallow7  5.39024e+01  1.0913e+01    0  1.000 32.970  2.21 2.142e+02  23.3368 
OBS: 56243.1950 DES-g shallow7  2.95910e+01  2.3030e+00 4096  1.000 32.320  1.41 3.638e+01  23.9273 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56243.1953
OBS: 56243.2030 DES-r shallow7  6.02248e+01  6.8276e+00 4096  1.000 30.990  1.59 2.760e+01  22.9212 
OBS: 56243.2110 DES-i shallow7  5.86609e+01  5.8496e+00 4096  1.000 32.080  1.44 7.619e+01  22.9683 
OBS: 56244.1880 DES-z shallow7  6.39069e+01  7.3930e+00 4096  1.000 33.110  1.70 2.142e+02  23.0495 
OBS: 56245.1910 DES-g shallow7  2.95802e+01  6.5851e+00 4096  1.000 31.200  1.47 3.638e+01  23.9182 
OBS: 56245.1990 DES-r shallow7  6.41809e+01  6.3198e+00 4096  1.000 31.010  1.49 2.760e+01  22.8561 
OBS: 56245.2030 DES-i shallow7  8.55382e+01  5.8335e+00 4096  1.000 32.140  1.51 7.619e+01  22.8889 
OBS: 56246.1990 DES-z shallow7  6.74960e+01  6.3334e+00 4096  1.000 33.220  1.61 2.142e+02  23.0137 
OBS: 56248.2300 DES-g shallow7  1.97408e+01  2.4786e+00 4096  1.000 32.320  1.54 3.638e+01  24.0393 
OBS: 56248.2380 DES-r shallow7  7.77710e+01  7.5522e+00 4096  1.000 30.810  1.48 2.760e+01  22.8541 
OBS: 56248.2500 DES-i shallow7  6.46387e+01  7.2535e+00    0  1.000 31.910  1.53 7.619e+01  22.8498 
OBS: 56258.1520 DES-z shallow7  4.27281e+01  9.3826e+00    0  1.000 33.200  1.75 2.876e+02  23.3761 
OBS: 56260.1880 DES-g shallow7  8.97960e+00  8.0190e+00    0  1.000 32.420  1.41 1.486e+02  25.1806 
OBS: 56260.1950 DES-r shallow7  5.81389e+01  1.4204e+01    0  1.000 31.000  1.44 6.877e+01  23.5267 
OBS: 56260.2030 DES-i shallow7  3.99426e+01  1.3816e+01    0  1.000 32.210  1.42 2.096e+02  23.2480 
OBS: 56266.1990 DES-z shallow7  4.28215e+01  7.9616e+00    0  1.000 33.170  1.88 2.208e+02  23.6413 
OBS: 56268.1950 DES-g shallow7  4.40176e+00  2.6598e+00    0  1.000 32.340  1.71 3.638e+01  26.2548 
OBS: 56268.1990 DES-r shallow7  1.23244e+01  7.4623e+00    0  1.000 30.910  1.65 2.760e+01  24.2920 
OBS: 56268.2150 DES-i shallow7  3.54068e+01  6.4084e+00 4096  1.000 32.130  1.65 7.680e+01  23.6410 
OBS: 56277.1800 DES-z shallow7  2.77933e+01  5.3894e+00 4096  1.000 33.210  1.36 2.142e+02  23.8337 
OBS: 56278.2230 DES-g shallow7 -1.93910e-01  2.3602e+00    0  1.000 32.380  1.58 3.638e+01  27.1516 
OBS: 56279.1800 DES-r shallow7  8.47958e+00  6.9129e+00    0  1.000 30.910  1.53 2.760e+01  25.1741 
OBS: 56279.1990 DES-i shallow7  2.86023e+01  7.7427e+00    0  1.000 32.180  2.11 7.619e+01  24.1304 
OBS: 56288.1520 DES-z shallow7 -3.81504e+00  9.8630e+00    0  1.000 33.200  1.93 2.745e+02  24.5843 
OBS: 56288.1990 DES-g shallow7  4.47654e+00  8.9223e+00    0  1.000 32.360  1.72 1.282e+02  27.8078 
OBS: 56288.2150 DES-r shallow7  2.36620e+01  1.7803e+01    0  1.000 31.010  2.16 5.800e+01  25.9180 
OBS: 56289.0510 DES-i shallow7  5.91209e+00  1.7922e+01    0  1.000 32.570  3.27 1.646e+02  24.7959 
OBS: 56296.0780 DES-g shallow7  3.55602e+00  1.8607e+00    0  1.000 32.300  1.15 3.638e+01  27.9671 
OBS: 56296.0900 DES-r shallow7  3.18095e+00  5.6904e+00    0  1.000 30.900  1.25 2.760e+01  26.0034 
OBS: 56296.1020 DES-z shallow7  1.53525e+01  5.8848e+00    0  1.000 33.160  1.42 2.142e+02  25.1870 
OBS: 56298.0900 DES-i shallow7  3.03864e+00  7.5407e+00    0  1.000 32.120  1.95 7.619e+01  25.2453 
OBS: 56306.0550 DES-g shallow7  4.95833e+00  2.5454e+00    0  1.000 32.330  1.62 3.638e+01  27.9346 
OBS: 56306.0620 DES-r shallow7  4.34639e+00  6.9066e+00    0  1.000 30.930  1.56 2.760e+01  26.1030 
OBS: 56306.0820 DES-z shallow7 -7.21983e-01  7.0952e+00    0  1.000 33.170  1.73 2.142e+02  25.4123 
OBS: 56308.1020 DES-i shallow7  5.93404e+00  5.2334e+00    0  1.000 32.240  1.51 7.619e+01  25.2077 
OBS: 56317.1250 DES-g shallow7 -1.59169e+01  7.4529e+00    0  1.000 32.310  1.79 9.809e+01  28.2009 
OBS: 56318.0430 DES-r shallow7  5.49946e+00  2.0182e+01    0  1.000 30.990  3.32 4.148e+01  26.3977 
OBS: 56318.0510 DES-z shallow7 -6.51473e+00  1.1990e+01    0  1.000 33.590  3.58 2.576e+02  25.6317 
