SURVEY:   DES
SNID:             94438  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       36.750000  # deg (avg among obs)
DEC:      -4.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0283 +- 0.0045  # MW E(B-V) 
MWXT_MAG:  0.105 0.070 0.051 0.039  # MW mag-XT per band
PEAKMJD:  56251.527     # estimate for LC fit codes
MJD_TRIGGER:       56236.145  
MJD_DETECT_FIRST:  56236.133  
MJD_DETECT_LAST:   56296.062  

REDSHIFT_HELIO:   0.648784 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.647478 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           7    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.64878 
SIM_REDSHIFT_CMB:    0.64747  
SIM_REDSHIFT_HOST:   0.64878 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            42.9279   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              36.750000     # deg  
SIM_DEC:             -4.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0287   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    -0.128     # coh model scatter 
SIM_PEAKMJD:         56250.957    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         1.5064e-05 
SIM_SALT2x1:         1.3800 
SIM_SALT2c:          -0.2124 
SIM_SALT2mB:         22.6901 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.2735  # spectro-search efficiency 
SIM_TRESTMIN:        -17.45  # days 
SIM_TRESTMAX:        58.91  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  23.063 22.341 22.373 22.530  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 68 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56222.2030 DES-g shallow6  9.95086e+00  4.9124e+00    0  1.000 32.140  2.20 4.396e+01  26.4729 
OBS: 56222.2110 DES-r shallow6  1.95952e+01  1.3548e+01    0  1.000 30.390  1.81 2.842e+01  26.9613 
OBS: 56222.2270 DES-i shallow6 -7.74938e+00  1.0132e+01    0  1.000 31.810  1.97 7.619e+01  26.3976 
OBS: 56222.2380 DES-z shallow6 -3.22145e-01  9.1890e+00    0  1.000 33.160  2.22 2.142e+02  26.4875 
OBS: 56229.1450 DES-g shallow6  2.21158e+01  9.6168e+00    0  1.000 32.280  1.36 1.623e+02  24.7648 
OBS: 56229.1560 DES-r shallow6  3.83760e+01  1.7892e+01    0  1.000 30.780  1.28 8.002e+01  23.8275 
OBS: 56229.1720 DES-i shallow6  2.70861e+01  2.1385e+01    0  1.000 31.850  1.33 2.489e+02  23.8184 
OBS: 56229.1880 DES-z shallow6  2.93459e+01  8.7401e+00    0  1.000 33.060  1.38 2.987e+02  24.0382 
OBS: 56231.1910 DES-g shallow6  2.00404e+01  8.3012e+00    0  1.000 32.300  1.38 1.405e+02  24.4824 
OBS: 56231.1990 DES-r shallow6  7.60773e+01  1.6236e+01    0  1.000 30.940  1.59 6.731e+01  23.3866 
OBS: 56231.2070 DES-i shallow6  3.27753e+01  1.5824e+01    0  1.000 32.160  1.58 2.061e+02  23.4321 
OBS: 56231.2150 DES-z shallow6  3.24119e+01  7.7686e+00    0  1.000 33.160  1.43 2.809e+02  23.6687 
OBS: 56236.1330 DES-g shallow6  3.80534e+01  3.7333e+00 4096  1.000 32.270  2.22 3.638e+01  23.5675 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56236.1445
OBS: 56236.1450 DES-r shallow6  8.37134e+01  8.9437e+00 4096  1.000 30.920  1.96 2.760e+01  22.7709 
OBS: 56236.1600 DES-i shallow6  7.09712e+01  7.2285e+00 4096  1.000 32.170  1.94 7.619e+01  22.8611 
OBS: 56236.1720 DES-z shallow6  6.98670e+01  9.5736e+00 4096  1.000 33.160  2.21 2.237e+02  23.0969 
OBS: 56238.1480 DES-g shallow6  4.98990e+01  3.7737e+00 4096  1.000 32.030  1.78 3.638e+01  23.2301 
OBS: 56238.1600 DES-r shallow6  1.36384e+02  1.3577e+01 4096  1.000 30.490  2.00 2.760e+01  22.5984 
OBS: 56238.1760 DES-i shallow6  7.70688e+01  1.2427e+01 4096  1.000 31.600  1.98 7.619e+01  22.6964 
OBS: 56238.1880 DES-z shallow6  7.56454e+01  1.1992e+01    0  1.000 32.710  1.91 2.142e+02  22.9266 
OBS: 56244.1410 DES-g shallow6  7.45703e+01  2.8712e+00 4096  1.000 32.350  1.77 3.638e+01  22.8011 
OBS: 56244.1520 DES-r shallow6  1.20609e+02  7.6929e+00 4096  1.000 31.000  1.78 2.760e+01  22.3329 
OBS: 56244.1680 DES-i shallow6  9.91225e+01  7.1184e+00 4096  1.000 32.140  1.85 7.619e+01  22.4305 
OBS: 56244.1800 DES-z shallow6  8.32109e+01  7.2297e+00 4096  1.000 33.090  1.63 2.142e+02  22.6271 
OBS: 56246.1520 DES-g shallow6  8.15750e+01  2.5469e+00 4096  1.000 32.230  1.36 3.638e+01  22.7982 
OBS: 56246.1640 DES-r shallow6  1.26209e+02  7.5969e+00 4096  1.000 30.880  1.56 2.760e+01  22.3112 
OBS: 56246.1800 DES-i shallow6  1.10741e+02  5.3632e+00 4096  1.000 32.260  1.54 7.619e+01  22.4000 
OBS: 56246.1910 DES-z shallow6  1.34916e+02  1.9153e+01 4096  1.000 32.050  1.66 2.142e+02  22.5804 
