SURVEY:   DES
SNID:             97166  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       52.500000  # deg (avg among obs)
DEC:      -24.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0202 +- 0.0032  # MW E(B-V) 
MWXT_MAG:  0.088 0.059 0.043 0.033  # MW mag-XT per band
PEAKMJD:  56288.355     # estimate for LC fit codes
MJD_TRIGGER:       56275.203  
MJD_DETECT_FIRST:  56275.172  
MJD_DETECT_LAST:   56313.113  

REDSHIFT_HELIO:   0.983178 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.982352 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           5    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.98284 
SIM_REDSHIFT_CMB:    0.98201  
SIM_REDSHIFT_HOST:   0.98284 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            44.0336   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              52.500000     # deg  
SIM_DEC:             -24.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0241   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    -0.062     # coh model scatter 
SIM_PEAKMJD:         56289.102    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         5.4339e-06 
SIM_SALT2x1:         0.9395 
SIM_SALT2c:          -0.2312 
SIM_SALT2mB:         23.7972 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0610  # spectro-search efficiency 
SIM_TRESTMIN:        -17.59  # days 
SIM_TRESTMAX:        31.25  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  -9.000 23.516 23.145 23.287  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 33 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56258.0350 DES-r shallow4 -4.42118e+00  3.0779e+01    0  1.000 30.730  3.13 5.341e+01  27.5642 
OBS: 56258.0430 DES-i shallow4  7.56520e+00  2.6342e+01    0  1.000 32.180  3.47 1.592e+02  26.3836 
OBS: 56258.0510 DES-z shallow4 -1.23928e+01  1.2176e+01    0  1.000 33.590  3.49 2.684e+02  26.2155 
OBS: 56261.2580 DES-r shallow4 -6.60235e+00  8.6503e+00    0  1.000 31.040  1.37 4.533e+01  25.7373 
OBS: 56261.2660 DES-i shallow4  9.89803e+00  9.2851e+00    0  1.000 32.270  1.60 1.320e+02  25.1592 
OBS: 56261.2730 DES-z shallow4 -8.81751e-01  6.6957e+00    0  1.000 33.320  1.55 2.591e+02  25.2198 
OBS: 56275.1720 DES-r shallow4  4.01718e+01  6.1679e+00 4096  1.000 30.980  1.43 2.760e+01  23.5441 
OBS: 56275.1910 DES-i shallow4  3.72634e+01  6.9096e+00    0  1.000 32.220  1.95 7.619e+01  23.3927 
OBS: 56275.2030 DES-z shallow4  3.63628e+01  7.5395e+00 4096  1.000 33.290  2.05 2.142e+02  23.5570 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56275.2031
OBS: 56287.1600 DES-r shallow4  5.06073e+01  1.1259e+01    0  1.000 30.940  1.56 4.693e+01  23.4465 
OBS: 56287.1760 DES-i shallow4  6.06680e+01  8.6154e+00 4096  1.000 32.180  1.30 1.381e+02  23.1284 
OBS: 56287.1910 DES-z shallow4  6.01541e+01  8.2077e+00 4096  1.000 33.160  1.65 2.569e+02  23.2850 
OBS: 56292.0350 DES-r shallow4  4.92040e+01  5.9663e+00    0  1.000 30.930  1.31 2.760e+01  23.6474 
OBS: 56292.0430 DES-i shallow4  4.77504e+01  5.0024e+00 4096  1.000 32.180  1.35 7.619e+01  23.1878 
OBS: 56292.0510 DES-z shallow4  4.46211e+01  5.7688e+00 4096  1.000 33.020  1.22 2.142e+02  23.3079 
OBS: 56304.1090 DES-r shallow4  1.23743e+01  5.9375e+00    0  1.000 30.990  1.41 2.760e+01  24.3594 
OBS: 56304.1130 DES-i shallow4  3.97588e+01  5.3693e+00 4096  1.000 32.100  1.35 7.619e+01  23.4989 
OBS: 56305.0430 DES-z shallow4  3.77906e+01  5.4498e+00 4096  1.000 33.150  1.30 2.142e+02  23.5953 
OBS: 56313.0550 DES-r shallow4  1.22773e+01  9.7929e+00    0  1.000 30.980  1.80 3.640e+01  24.9877 
OBS: 56313.0660 DES-i shallow4  3.41901e+01  6.5823e+00    0  1.000 32.170  1.29 1.052e+02  23.9068 
OBS: 56313.1130 DES-z shallow4  2.37921e+01  7.6971e+00 4096  1.000 33.180  1.76 2.303e+02  23.8886 
OBS: 56321.0660 DES-r shallow4  6.97324e+00  9.0706e+00    0  1.000 30.470  1.19 3.151e+01  25.5846 
OBS: 56321.0820 DES-i shallow4  4.78233e+00  1.1210e+01    0  1.000 31.420  1.33 8.732e+01  24.4271 
OBS: 56321.0900 DES-z shallow4 -2.90176e-01  1.5746e+01    0  1.000 32.230  1.46 2.371e+02  24.2181 
OBS: 56333.1020 DES-r shallow4  8.26844e+00  6.7147e+00    0  1.000 30.990  1.60 2.760e+01  26.5290 
OBS: 56333.1090 DES-i shallow4  1.71538e+00  6.5857e+00    0  1.000 32.180  1.80 7.619e+01  25.1430 
OBS: 56333.1130 DES-z shallow4  1.50447e+01  7.4097e+00    0  1.000 33.130  1.74 2.142e+02  24.7636 
OBS: 56345.0080 DES-r shallow4  1.96203e+01  8.3734e+00    0  1.000 31.020  1.69 3.413e+01  26.5386 
