SURVEY:   DES
SNID:             99229  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       48.000000  # deg (avg among obs)
DEC:      0.000000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0713 +- 0.0114  # MW E(B-V) 
MWXT_MAG:  0.306 0.203 0.149 0.114  # MW mag-XT per band
PEAKMJD:  56208.148     # estimate for LC fit codes
MJD_TRIGGER:       56216.164  
MJD_DETECT_FIRST:  56215.238  
MJD_DETECT_LAST:   56266.199  

REDSHIFT_HELIO:   0.529146 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.528212 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           8    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.52957 
SIM_REDSHIFT_CMB:    0.52864  
SIM_REDSHIFT_HOST:   0.52957 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            42.3961   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              48.000000     # deg  
SIM_DEC:             0.000000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0838   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    0.077     # coh model scatter 
SIM_PEAKMJD:         56206.887    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         8.5344e-06 
SIM_SALT2x1:         -0.1557 
SIM_SALT2c:          0.0794 
SIM_SALT2mB:         23.3071 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0415  # spectro-search efficiency 
SIM_TRESTMIN:        -18.01  # days 
SIM_TRESTMAX:        66.21  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  24.875 23.306 23.285 23.171  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 71 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56179.3590 DES-g shallow7 -2.28207e+00  4.6134e+00    0  1.000 32.220  1.94 5.086e+01 99 
OBS: 56180.2110 DES-r shallow7  1.81876e+00  8.4271e+00    0  1.000 31.110  2.25 2.760e+01  28.8120 
OBS: 56180.2190 DES-i shallow7 -2.61024e+00  6.5988e+00    0  1.000 32.270  1.96 7.619e+01  28.2026 
OBS: 56180.2340 DES-z shallow7  2.12964e+00  7.4595e+00    0  1.000 33.300  2.05 2.142e+02  28.1428 
OBS: 56188.2380 DES-g shallow7  2.97622e+00  3.5738e+00    0  1.000 32.310  2.24 3.638e+01  26.6221 
OBS: 56189.1950 DES-r shallow7  1.03828e+02  5.9487e+01    0  1.000 29.110  2.51 2.760e+01  24.6591 
OBS: 56189.2030 DES-i shallow7  9.50554e-02  1.3886e+01    0  1.000 31.960  3.10 7.619e+01  24.6400 
OBS: 56189.2110 DES-z shallow7 -1.14005e+01  1.6916e+01    0  1.000 32.600  2.44 2.142e+02  24.5887 
OBS: 56200.2190 DES-g shallow7  1.41830e+01  1.2720e+01    0  1.000 32.370  2.31 1.374e+02  24.7036 
OBS: 56202.2230 DES-r shallow7  4.57908e+01  1.3451e+01    0  1.000 31.070  1.52 6.581e+01  23.3381 
OBS: 56202.2380 DES-i shallow7  9.05180e+01  1.4217e+01    0  1.000 32.280  1.61 2.026e+02  23.3623 
OBS: 56207.1560 DES-z shallow7  6.43796e+01  1.0711e+01    0  1.000 33.300  2.94 2.142e+02  23.1686 
OBS: 56214.1640 DES-g shallow7  7.34560e+00  2.4293e+00    0  1.000 32.370  1.60 3.638e+01  25.4260 
OBS: 56215.2380 DES-r shallow7  4.73907e+01  5.9448e+00 4096  1.000 31.040  1.45 2.760e+01  23.5351 
OBS: 56216.1640 DES-i shallow7  4.62286e+01  5.6241e+00 4096  1.000 32.260  1.64 7.619e+01  23.4034 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56216.1641
OBS: 56217.1520 DES-z shallow7  4.53424e+01  5.3486e+00 4096  1.000 33.220  1.36 2.142e+02  23.3265 
OBS: 56221.1130 DES-g shallow7  3.51702e-01  4.5480e+00    0  1.000 32.210  2.43 3.916e+01  26.0576 
OBS: 56221.1950 DES-r shallow7  9.26193e+01  4.7464e+01    0  1.000 29.110  2.00 2.760e+01  23.8565 
OBS: 56221.3120 DES-i shallow7  2.95496e+01  8.4701e+00    0  1.000 31.940  1.85 7.619e+01  23.5643 
OBS: 56222.1050 DES-z shallow7  2.78196e+01  1.8057e+01    0  1.000 32.820  3.14 2.175e+02  23.5728 
OBS: 56228.1990 DES-g shallow7  2.11207e+00  6.9182e+00    0  1.000 32.330  1.32 1.260e+02  26.7696 
OBS: 56228.2150 DES-r shallow7 -4.70673e+00  1.5460e+01    0  1.000 30.880  1.65 5.860e+01  24.3727 
OBS: 56228.2230 DES-i shallow7  3.26210e+00  2.9146e+01    0  1.000 31.290  1.52 1.772e+02  23.8528 
OBS: 56229.1990 DES-z shallow7  2.30480e+01  8.4642e+00    0  1.000 33.170  1.50 2.946e+02  23.8535 
OBS: 56230.1560 DES-g shallow7  4.42099e+00  9.8340e+00    0  1.000 32.290  1.33 1.716e+02  26.9541 
OBS: 56230.1720 DES-r shallow7 -5.69492e+00  1.8822e+01    0  1.000 30.930  1.46 8.506e+01  24.5346 
OBS: 56230.1880 DES-i shallow7  6.33706e+01  2.2925e+01    0  1.000 32.110  1.70 2.652e+02  23.9407 
OBS: 56231.2300 DES-z shallow7  3.09138e+01  8.0704e+00    0  1.000 33.180  1.48 2.872e+02  23.9074 
OBS: 56235.1600 DES-g shallow7  5.13442e+00  5.3301e+00    0  1.000 32.350  1.86 6.962e+01  27.2620 
OBS: 56235.1720 DES-r shallow7  1.49723e+01  1.1679e+01    0  1.000 30.940  2.14 3.511e+01  24.9269 
OBS: 56235.1880 DES-i shallow7  2.55817e+01  1.0310e+01    0  1.000 32.190  2.17 1.001e+02  24.1506 
OBS: 56236.1880 DES-z shallow7  3.16285e+01  9.3619e+00    0  1.000 33.210  2.25 2.253e+02  23.9912 
OBS: 56237.1990 DES-g shallow7  3.65952e+00  4.9470e+00    0  1.000 32.120  1.94 4.964e+01  27.4167 
OBS: 56237.2070 DES-r shallow7  2.91801e+01  9.8192e+00    0  1.000 30.860  1.95 2.950e+01  25.0801 
OBS: 56237.2150 DES-i shallow7  2.98046e+01  1.2648e+01    0  1.000 31.610  1.90 8.195e+01  24.2385 
OBS: 56238.1990 DES-z shallow7  1.89862e+01  1.0903e+01    0  1.000 32.970  2.21 2.142e+02  24.0241 
OBS: 56243.1950 DES-g shallow7  1.75829e+00  2.2305e+00    0  1.000 32.320  1.41 3.638e+01  28.0059 
OBS: 56243.2030 DES-r shallow7  6.75765e+00  6.6685e+00    0  1.000 30.990  1.59 2.760e+01  25.4741 
OBS: 56243.2110 DES-i shallow7  8.19790e+00  5.7857e+00    0  1.000 32.080  1.44 7.619e+01  24.5029 
OBS: 56244.1880 DES-z shallow7  2.50370e+01  7.3780e+00    0  1.000 33.110  1.70 2.142e+02  24.1488 
OBS: 56245.1910 DES-g shallow7  1.34025e+01  6.5443e+00    0  1.000 31.200  1.47 3.638e+01  28.1406 
OBS: 56245.1990 DES-r shallow7  4.05495e+00  6.1293e+00    0  1.000 31.010  1.49 2.760e+01  25.5928 
OBS: 56245.2030 DES-i shallow7  1.90687e+01  5.7536e+00    0  1.000 32.140  1.51 7.619e+01  24.5897 
OBS: 56246.1990 DES-z shallow7  2.22396e+01  6.3149e+00    0  1.000 33.220  1.61 2.142e+02  24.2029 
OBS: 56248.2300 DES-g shallow7  5.25077e+00  2.4438e+00    0  1.000 32.320  1.54 3.638e+01  28.2785 
OBS: 56248.2380 DES-r shallow7  1.17759e+01  7.3421e+00    0  1.000 30.810  1.48 2.760e+01  25.7583 
OBS: 56248.2500 DES-i shallow7  1.52255e+01  7.1946e+00    0  1.000 31.910  1.53 7.619e+01  24.7194 
OBS: 56258.1520 DES-z shallow7  1.43169e+01  9.3747e+00    0  1.000 33.200  1.75 2.876e+02  24.6591 
OBS: 56260.1880 DES-g shallow7  5.11784e+00  8.0164e+00    0  1.000 32.420  1.41 1.486e+02  28.4788 
OBS: 56260.1950 DES-r shallow7  3.03473e+01  1.4165e+01    0  1.000 31.000  1.44 6.877e+01  26.2354 
OBS: 56260.2030 DES-i shallow7  2.24709e+01  1.3807e+01    0  1.000 32.210  1.42 2.096e+02  25.1975 
OBS: 56266.1990 DES-z shallow7  1.07166e+01  7.9507e+00 4096  1.000 33.170  1.88 2.208e+02  24.9259 
OBS: 56268.1950 DES-g shallow7  3.98131e+00  2.6589e+00    0  1.000 32.340  1.71 3.638e+01  28.5043 
OBS: 56268.1990 DES-r shallow7  1.18782e+01  7.4610e+00    0  1.000 30.910  1.65 2.760e+01  26.3706 
OBS: 56268.2150 DES-i shallow7  9.73274e+00  6.3802e+00    0  1.000 32.130  1.65 7.680e+01  25.4393 
OBS: 56277.1800 DES-z shallow7  2.95165e-01  5.3761e+00    0  1.000 33.210  1.36 2.142e+02  25.1847 
OBS: 56278.2230 DES-g shallow7 -1.20784e+00  2.3602e+00    0  1.000 32.380  1.58 3.638e+01  29.1275 
OBS: 56279.1800 DES-r shallow7  8.24996e+00  6.9122e+00    0  1.000 30.910  1.53 2.760e+01  26.5636 
OBS: 56279.1990 DES-i shallow7  9.59568e+00  7.7262e+00    0  1.000 32.180  2.11 7.619e+01  25.6456 
OBS: 56288.1520 DES-z shallow7 -3.79683e+00  9.8630e+00    0  1.000 33.200  1.93 2.745e+02  25.3702 
OBS: 56288.1990 DES-g shallow7  1.67588e+01  8.9301e+00    0  1.000 32.360  1.72 1.282e+02  31.3628 
OBS: 56288.2150 DES-r shallow7  2.27086e+01  1.7802e+01    0  1.000 31.010  2.16 5.800e+01  26.7467 
OBS: 56289.0510 DES-i shallow7 -9.89972e+00  1.7921e+01    0  1.000 32.570  3.27 1.646e+02  25.7512 
OBS: 56296.0780 DES-g shallow7  1.22004e-01  1.8496e+00    0  1.000 32.300  1.15 3.638e+01  33.5319 
OBS: 56296.0900 DES-r shallow7 -5.74572e+00  5.6782e+00    0  1.000 30.900  1.25 2.760e+01  26.9094 
OBS: 56296.1020 DES-z shallow7  1.39369e+01  5.8841e+00    0  1.000 33.160  1.42 2.142e+02  25.5043 
